字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
文化和历史价值,历史,0.647,每一品种又自成历史系列,0.990686,0.00931419,0.979302,2
文化和历史价值,历史,0.647,成为数千年中华文明历史发展最为直接的见证,0.999096,0.000903604,0.997992,2
性价比,数量,0.586,博物院珍贵文物数量居中国第二,0.680748,0.319252,0.29055,2
性价比,宝库,0.614,可以说是一座巨大的中华民族文化艺术宝库,0.998224,0.00177623,0.996053,2
性价比,自成,0.633,每一品种又自成历史系列,0.990686,0.00931419,0.979302,2
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
文化和历史价值,历史,0.647,每一品种又自成历史系列,0.990686,0.00931419,0.979302,2
文化和历史价值,历史,0.647,成为数千年中华文明历史发展最为直接的见证,0.999096,0.000903604,0.997992,2
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
文化和历史价值,历史,0.647,每一品种又自成历史系列,0.990686,0.0093142,0.979302,2
文化和历史价值,历史,0.647,成为数千年中华文明历史发展最为直接的见证,0.999096,0.000903604,0.997992,2
性价比,科技感,0.857,科技感强,0.999178,0.000821909,0.998174,2
性价比,便宜,0.689,里面的吃的喝的不便宜,0.653706,0.346294,0.230457,2
文化和历史价值,历史,0.647,藏品多到放的太满以至于会忘记啊它们真的很珍贵博物院有历史馆,0.991087,0.00891316,0.980193,2
文化和历史价值,历史,0.647,我们主要去了历史馆和特展馆,0.990683,0.0093174,0.979295,2
文化和历史价值,历史,0.647,历史馆一共两层,0.987616,0.0123836,0.972481,2
文化和历史价值,历史,0.647,一路走下去能看到各个朝代江苏历史,0.996465,0.0035347,0.992145,2
文化和历史价值,历史,0.647,将中国烧造青花瓷的历史提早了将近500年,0.972546,0.0274545,0.93899,2
文化和历史价值,历史,0.647,藏品多到放的太满以至于会忘记啊它们真的很珍贵博物院有历史馆,0.991087,0.00891316,0.980193,2
文化和历史价值,历史,0.647,我们主要去了历史馆和特展馆,0.990683,0.0093174,0.979295,2
文化和历史价值,历史,0.647,历史馆一共两层,0.987616,0.0123836,0.972481,2
文化和历史价值,历史,0.647,一路走下去能看到各个朝代江苏历史,0.996465,0.0035347,0.992145,2
文化和历史价值,历史,0.647,将中国烧造青花瓷的历史提早了将近500年,0.972546,0.0274545,0.93899,2
文化和历史价值,历史,0.647,藏品多到放的太满以至于会忘记啊它们真的很珍贵博物院有历史馆,0.991087,0.00891316,0.980193,2
文化和历史价值,历史,0.647,我们主要去了历史馆和特展馆,0.990683,0.0093174,0.979295,2
文化和历史价值,历史,0.647,历史馆一共两层,0.987616,0.0123836,0.972481,2
文化和历史价值,历史,0.647,一路走下去能看到各个朝代江苏历史,0.996465,0.0035347,0.992145,2
文化和历史价值,历史,0.647,将中国烧造青花瓷的历史提早了将近500年,0.972546,0.0274545,0.93899,2
文化和历史价值,历史,0.647,藏品多到放的太满以至于会忘记啊它们真的很珍贵博物院有历史馆,0.991087,0.00891316,0.980193,2
文化和历史价值,历史,0.647,我们主要去了历史馆和特展馆,0.990683,0.0093174,0.979295,2
文化和历史价值,历史,0.647,历史馆一共两层,0.987616,0.0123836,0.972481,2
文化和历史价值,历史,0.647,一路走下去能看到各个朝代江苏历史,0.996465,0.0035347,0.992145,2
文化和历史价值,历史,0.647,将中国烧造青花瓷的历史提早了将近500年,0.972546,0.0274545,0.93899,2
文化和历史价值,历史,0.647,藏品多到放的太满以至于会忘记啊它们真的很珍贵博物院有历史馆,0.991087,0.00891316,0.980193,2
文化和历史价值,历史,0.647,我们主要去了历史馆和特展馆,0.990683,0.0093174,0.979295,2
文化和历史价值,历史,0.647,历史馆一共两层,0.987616,0.0123836,0.972481,2
文化和历史价值,历史,0.647,一路走下去能看到各个朝代江苏历史,0.996465,0.0035347,0.992145,2
文化和历史价值,历史,0.647,将中国烧造青花瓷的历史提早了将近500年,0.972546,0.0274545,0.93899,2
文化和历史价值,出品,0.562,主要是清宫做钟处出品和英美等国赠送的礼品,0.989531,0.0104688,0.976736,2
文化和历史价值,出品,0.562,在清宫做钟处出品的钟表里还能看出和儒家文化的结合,0.962783,0.0372174,0.917295,2
文化和历史价值,出品,0.562,主要是清宫做钟处出品和英美等国赠送的礼品,0.989531,0.0104688,0.976736,2
文化和历史价值,出品,0.562,在清宫做钟处出品的钟表里还能看出和儒家文化的结合,0.962783,0.0372174,0.917295,2
性价比,数量,0.586,其珍贵文物数量居中国第二,0.474481,0.525519,0.489616,1
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
文化和历史价值,历史,0.647,我们一共就参观了历史馆,0.994495,0.00550487,0.987767,2
环境和景观,因素,0.62,当然也因为体力有限等众多因素,0.961989,0.0380111,0.915531,2
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
文化和历史价值,历史,0.647,我们一共就参观了历史馆,0.994495,0.00550487,0.987767,2
性价比,高纯度,0.662,由高纯度黄金制成,0.721814,0.278186,0.381808,2
文化和历史价值,历史,0.647,或者对历史文化兴趣缺缺,0.145913,0.854087,0.675749,0
文化和历史价值,历史,0.647,纯历史文化向,0.992464,0.00753559,0.983254,2
文化和历史价值,历史,0.647,对历史感兴趣的可以租讲解机,0.997465,0.00253458,0.994368,2
性价比,选择性,0.673,建议有选择性游览展厅,0.984714,0.0152857,0.966032,2
性价比,免费,0.624,免费参观,0.993423,0.00657692,0.985385,2
性价比,免费,0.624,有免费饮水处,0.969771,0.0302286,0.932825,2
性价比,免费,0.624,预约免费参观的前提下,0.995487,0.00451308,0.989971,2
性价比,蹲位,0.861,女厕蹲位不多,0.77263,0.22737,0.494733,2
性价比,感受,0.66,以下为个人观展感受,0.976956,0.0230438,0.948792,2
性价比,价值,0.748,展品艺术价值不高,0.0583539,0.941646,0.870325,0
性价比,价值,0.748,展品艺术价值质的飞升,0.997345,0.00265461,0.994101,2
性价比,价值,0.748,都比较有艺术价值,0.995847,0.00415342,0.99077,2
文化和历史价值,历史,0.647,或者对历史文化兴趣缺缺,0.145913,0.854087,0.675749,0
文化和历史价值,历史,0.647,纯历史文化向,0.992464,0.00753559,0.983254,2
文化和历史价值,历史,0.647,对历史感兴趣的可以租讲解机,0.997465,0.00253458,0.994368,2
性价比,价值,0.748,展品艺术价值不高,0.0583539,0.941646,0.870325,0
性价比,价值,0.748,展品艺术价值质的飞升,0.997345,0.00265461,0.994101,2
性价比,价值,0.748,都比较有艺术价值,0.995847,0.00415342,0.99077,2
性价比,艺术性,0.73,更具有艺术性,0.993875,0.00612496,0.986389,2
环境和景观,人文,0.611,人文感,0.994357,0.00564334,0.987459,2
文化和历史价值,娱乐,0.567,展品没娱乐性缺乏互动,0.192067,0.807934,0.573186,0
文化和历史价值,娱乐,0.567,纯娱乐消费区域,0.916638,0.0833616,0.814752,2
设施和服务,消费,0.62,纯娱乐消费区域,0.916638,0.0833616,0.814752,2
性价比,价值,0.748,展品艺术价值不高,0.0583539,0.941646,0.870325,0
性价比,价值,0.748,展品艺术价值质的飞升,0.997345,0.00265461,0.994101,2
性价比,价值,0.748,都比较有艺术价值,0.995847,0.00415342,0.99077,2
性价比,数量,0.586,不管是展品数量还是展品内容,0.783288,0.216712,0.518418,2
性价比,无比,0.621,都无比大方,0.999787,0.000213051,0.999527,2
文化和历史价值,历史,0.647,或者对历史文化兴趣缺缺,0.145913,0.854087,0.675749,0
文化和历史价值,历史,0.647,纯历史文化向,0.992464,0.00753559,0.983254,2
文化和历史价值,历史,0.647,对历史感兴趣的可以租讲解机,0.997465,0.00253458,0.994368,2
性价比,成功,0.623,很开心成功预约,0.999968,3.23106e-05,0.999928,2
性价比,感受,0.66,可以沉下心来去感受南京深厚的文化底蕴和历史传承,0.999606,0.000394407,0.999124,2
环境和景观,文化底蕴,0.619,可以沉下心来去感受南京深厚的文化底蕴和历史传承,0.999606,0.000394408,0.999124,2
文化和历史价值,历史,0.647,可以沉下心来去感受南京深厚的文化底蕴和历史传承,0.999606,0.000394408,0.999124,2
性价比,免费,0.624,门票：免费,0.988495,0.0115051,0.974433,2
设施和服务,服务中心,0.632,服务中心领参观指南：历史馆一特展馆一民国馆—数字馆—艺术馆一非遗馆,0.956561,0.0434386,0.90347,2
文化和历史价值,历史,0.647,服务中心领参观指南：历史馆一特展馆一民国馆—数字馆—艺术馆一非遗馆,0.956561,0.0434386,0.90347,2
性价比,评价,0.682,总体评价,0.964265,0.0357352,0.920589,2
性价比,感受,0.66,整体感受,0.90756,0.0924398,0.794578,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
性价比,随用,0.638,点评随买随用,0.795779,0.204221,0.546175,2
文化和历史价值,历史,0.647,看一下历史和文物的故事,0.99918,0.00082021,0.998177,2
文化和历史价值,历史,0.647,博物院设有历史馆,0.970891,0.0291086,0.935314,2
文化和历史价值,历史,0.647,从发源历史开始布局,0.969035,0.0309654,0.931188,2
性价比,综合性,0.645,南京博物馆是一座值得一游的综合性博物馆,0.993016,0.00698378,0.98448,2
文化和历史价值,历史,0.647,它不仅拥有丰富的历史文化资源,0.998145,0.00185453,0.995879,2
文化和历史价值,历史,0.647,充分展示出江南文化历史特色的亮点,0.98431,0.0156903,0.965133,2
文化和历史价值,历史,0.647,感受到历史文化与现代城市的碰撞,0.998624,0.00137562,0.996943,2
设施和服务,设施,0.621,而且展览设施完善,0.99722,0.00277987,0.993822,2
设施和服务,设施,0.621,服务设施和公共卫生清洁工作有待加强,0.190065,0.809935,0.577634,0
文化和历史价值,历史,0.647,它不仅拥有丰富的历史文化资源,0.998145,0.00185453,0.995879,2
文化和历史价值,历史,0.647,充分展示出江南文化历史特色的亮点,0.98431,0.0156903,0.965133,2
文化和历史价值,历史,0.647,感受到历史文化与现代城市的碰撞,0.998624,0.00137562,0.996943,2
环境和景观,环境,0.621,我被其展品和环境深深吸引,0.993606,0.00639366,0.985792,2
性价比,感受到,0.6,感受到历史文化与现代城市的碰撞,0.998624,0.00137562,0.996943,2
文化和历史价值,历史,0.647,它不仅拥有丰富的历史文化资源,0.998145,0.00185453,0.995879,2
文化和历史价值,历史,0.647,充分展示出江南文化历史特色的亮点,0.98431,0.0156903,0.965133,2
文化和历史价值,历史,0.647,感受到历史文化与现代城市的碰撞,0.998624,0.00137562,0.996943,2
设施和服务,服务设施,0.621,服务设施和公共卫生清洁工作有待加强,0.190065,0.809935,0.577634,0
性价比,性价比,1.0,但性价比很高,0.999784,0.000216488,0.999519,2
设施和服务,消费,0.62,需要消费,0.363109,0.636891,0.193091,0
性价比,按位,0.856,按位,0.801585,0.198415,0.559077,2
性价比,成,0.618,让南京这个城市成了网红打卡地,0.824922,0.175078,0.610939,2
性价比,车位,0.86,南博附近肯定一车位难求,0.903196,0.0968045,0.784879,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,很有历史底蕴,0.99987,0.000129916,0.999711,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,很有历史底蕴,0.99987,0.000129916,0.999711,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
