字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,性,0.692,也是景点集群性非常高的地带,0.998791,0.00120912,0.997313,2
性价比,玩耍,0.603,夫子庙西侧可以瞻园和甘熙故居一起规划玩耍,0.973251,0.0267485,0.940559,2
性价比,玩耍,0.603,都可以在玩耍后来夫子庙秦淮河一带吃东西～,0.998844,0.00115552,0.997432,2
文化和历史价值,公园,0.555,东侧可以去白鹭洲公园,0.924308,0.0756919,0.831796,2
性价比,玩耍,0.603,夫子庙西侧可以瞻园和甘熙故居一起规划玩耍,0.973251,0.0267485,0.940559,2
性价比,玩耍,0.603,都可以在玩耍后来夫子庙秦淮河一带吃东西～,0.998844,0.00115552,0.997432,2
环境和景观,夜景,0.619,欣赏夜景,0.999414,0.00058587,0.998698,2
性价比,感受到,0.6,感受到了南京人的人潮汹涌,0.991747,0.00825251,0.981661,2
文化和历史价值,历史,0.647,金陵历史人文荟萃之地,0.994509,0.00549075,0.987798,2
环境和景观,名胜,0.615,夫子庙被誉为秦淮名胜而成为古都南京的特色景观区,0.967247,0.0327532,0.927215,2
环境和景观,景观,0.615,夫子庙被誉为秦淮名胜而成为古都南京的特色景观区,0.967247,0.0327532,0.927215,2
性价比,免费,0.624,进入步行街是免费,0.980804,0.0191961,0.957342,2
性价比,感受,0.66,感受这里的商业文化,0.991635,0.00836534,0.98141,2
文化和历史价值,商业,0.556,感受这里的商业文化,0.991635,0.00836534,0.98141,2
性价比,游玩,0.614,约了几位朋友来这里游玩,0.992552,0.00744802,0.983449,2
性价比,价格,0.724,每个地方的价格都不一样,0.780822,0.219178,0.512938,2
环境和景观,夜景,0.619,以前去夫子庙看夜景都是人挤人,0.764701,0.235299,0.477113,2
性价比,感受,0.66,还挺能感受老秦淮的感觉昵,0.988237,0.0117633,0.97386,2
性价比,游玩,0.614,导游最喜欢把中老年游客安排在这里游玩,0.979065,0.0209346,0.953479,2
环境和景观,人文,0.611,其实夫子庙里面是人文历史却少有人去关注,0.319803,0.680197,0.289326,0
文化和历史价值,历史,0.647,其实夫子庙里面是人文历史却少有人去关注,0.319803,0.680197,0.289326,0
性价比,价格,0.724,各种各样的价格,0.901111,0.0988894,0.780246,2
环境和景观,夜景,0.619,夜景真的太美了,0.999829,0.000171394,0.999619,2
性价比,游玩,0.614,游玩就是既要找寻静谧的小众景点,0.994548,0.00545151,0.987886,2
文化和历史价值,商业,0.556,于商业味巨浓的老街,0.957733,0.0422668,0.906074,2
文化和历史价值,商业,0.556,只是秦淮河畔的商业气息太浓了,0.781667,0.218333,0.514815,2
文化和历史价值,历史,0.647,这里有着浓厚的历史文化,0.996843,0.00315733,0.992984,2
文化和历史价值,历史,0.647,集历史和现代文明为一体,0.995376,0.0046237,0.989725,2
文化和历史价值,历史,0.647,这里有着浓厚的历史文化,0.996843,0.00315732,0.992984,2
文化和历史价值,历史,0.647,集历史和现代文明为一体,0.995376,0.0046237,0.989725,2
文化和历史价值,历史,0.647,每一层都是满满的历史啊,0.999208,0.000792058,0.99824,2
文化和历史价值,历史,0.647,可以去体验一下孔子曾经的历史文化,0.997695,0.00230524,0.994877,2
性价比,感受,0.66,感受一条河流两岸的别致风景,0.993358,0.00664241,0.985239,2
环境和景观,人文,0.611,充满人文的景点,0.998813,0.00118732,0.997362,2
环境和景观,人文,0.611,晚上东段100每人40分钟看人文,0.945333,0.0546667,0.878518,2
环境和景观,人文,0.611,充满人文的景点,0.998813,0.00118732,0.997362,2
环境和景观,人文,0.611,晚上东段100每人40分钟看人文,0.945333,0.0546668,0.878518,2
文化和历史价值,商业,0.556,充满了商业气息,0.833476,0.166524,0.629947,2
性价比,玩,0.633,沿途一路边走边玩,0.990745,0.0092552,0.979433,2
环境和景观,夜景,0.619,看看秦淮河夜景,0.992573,0.00742661,0.983496,2
环境和景观,环境,0.621,人气旺盛环境很美,0.99961,0.000389768,0.999134,2
性价比,感受,0.66,感受也是不一样的,0.994967,0.00503282,0.988816,2
环境和景观,环境,0.621,环境不错,0.989503,0.0104973,0.976673,2
性价比,玩,0.633,来旅游的一定要夜晚来玩哦,0.999766,0.000233703,0.999481,2
环境和景观,夜景,0.619,夜景比较好,0.893101,0.106899,0.762448,2
性价比,票价,0.677,票价不贵,0.986093,0.0139074,0.969094,2
文化和历史价值,公园,0.555,白鹭洲公园,0.928625,0.0713747,0.84139,2
文化和历史价值,公园,0.555,在中华门外的大报恩寺遗址公园附近登船,0.895814,0.104186,0.768476,2
文化和历史价值,公园,0.555,白鹭洲公园,0.928625,0.0713747,0.84139,2
文化和历史价值,公园,0.555,在中华门外的大报恩寺遗址公园附近登船,0.895814,0.104186,0.768476,2
文化和历史价值,历史,0.647,还有包含了很多历史,0.99622,0.00378027,0.991599,2
性价比,价格,0.724,价格小贵,0.969259,0.0307413,0.931686,2
设施和服务,住宿,0.623,也有专门住宿一条街非常多吃的,0.992649,0.00735124,0.983664,2
性价比,免费,0.624,进园是免费的,0.981361,0.0186387,0.958581,2
性价比,免费,0.624,然后只有几个是免费的呦其他基本都是需要单独收费的,0.0714494,0.928551,0.841224,0
性价比,免费,0.624,进园是免费的,0.981361,0.0186387,0.958581,2
性价比,免费,0.624,然后只有几个是免费的呦其他基本都是需要单独收费的,0.0714494,0.928551,0.841224,0
性价比,感受,0.66,感受古老的文化氛围,0.996791,0.00320858,0.99287,2
性价比,感受,0.66,无论是感受文化氛围还是品尝美食,0.995212,0.00478752,0.989361,2
性价比,感受,0.66,感受古老的文化氛围,0.996791,0.00320858,0.99287,2
性价比,感受,0.66,无论是感受文化氛围还是品尝美食,0.995212,0.00478752,0.989361,2
环境和景观,夜景,0.619,"夜景游船还是挺不错的～
拍照很好看",0.999717,0.000283152,0.999371,2
性价比,游玩,0.614,夫子庙游玩tips：,0.95916,0.04084,0.909244,2
性价比,游玩,0.614,建议傍晚时分来游玩,0.982682,0.0173181,0.961515,2
环境和景观,夜景,0.619,夜景极美,0.999908,9.20409e-05,0.999795,2
性价比,游玩,0.614,夫子庙游玩tips：,0.95916,0.0408401,0.909244,2
性价比,游玩,0.614,建议傍晚时分来游玩,0.982682,0.0173181,0.961515,2
环境和景观,地标,0.618,是南京地标特色,0.991961,0.00803864,0.982136,2
设施和服务,汉服,0.638,为主或汉服,0.992746,0.00725384,0.98388,2
性价比,感受,0.66,感受金陵之美,0.999925,7.45349e-05,0.999834,2
性价比,玩,0.633,他们这边晚上可以顺带着玩一下夫子庙,0.992787,0.0072134,0.98397,2
