字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
环境和景观,环境,0.621,"好天气去的蓝天绿树环境很美
顺便摸了一波小鹿",0.999624,0.000375778,0.999165,2
性价比,感受,0.66,感受历史的沉淀,0.999816,0.000184298,0.99959,2
文化和历史价值,历史,0.647,感受历史的沉淀,0.999816,0.000184298,0.99959,2
性价比,玩,0.633,在紫金山南麓独龙阜玩珠峰下,0.950316,0.0496843,0.889591,2
环境和景观,人文,0.611,将人文与自然和谐统一,0.992213,0.00778681,0.982696,2
环境和景观,环境,0.621,成为中国传统建筑艺术文化与环境美学相结合的优秀典范,0.999554,0.000445654,0.99901,2
性价比,成就,0.684,代表了明初建筑和石刻艺术的最高成就,0.994767,0.00523346,0.98837,2
性价比,游玩,0.614,很适合搭帐篷游玩,0.99977,0.000230496,0.999488,2
性价比,游玩,0.614,非常适合带孩子游玩以及和朋友出门吸氧,0.999886,0.000113957,0.999747,2
性价比,游玩,0.614,很适合搭帐篷游玩,0.99977,0.000230496,0.999488,2
性价比,游玩,0.614,非常适合带孩子游玩以及和朋友出门吸氧,0.999886,0.000113957,0.999747,2
文化和历史价值,历史,0.647,获得历史留名,0.985541,0.0144594,0.967868,2
性价比,成,0.618,让她活得痛快就成,0.351702,0.648298,0.218439,0
性价比,免费,0.624,希望以后南京紫金山这些都能免费开放给学龄前和学龄儿童参观,0.98362,0.0163804,0.963599,2
性价比,套票,0.634,套票就是一个坑,0.00246712,0.997533,0.994518,0
性价比,半价,0.638,大学生门票半价35元,0.876221,0.123779,0.724935,2
性价比,游玩,0.614,每个地方游玩结束再出来,0.988778,0.0112221,0.975062,2
性价比,玩,0.633,每个地方游玩结束再出来,0.988778,0.0112221,0.975062,2
性价比,玩,0.633,否则玩一半出来的话,0.0659637,0.934036,0.853414,0
文化和历史价值,公园,0.555,里边就像一个大公园,0.183875,0.816126,0.59139,0
文化和历史价值,历史,0.647,还是要了解一下历史才好,0.529274,0.470726,0.41452,1
性价比,套票,0.634,我们买的是套票,0.980725,0.0192749,0.957167,2
