字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,优惠,0.682,提前一天在网上下的单有优惠,0.985627,0.0143734,0.968059,2
性价比,标志性,0.65,佛顶宫标志性的穹顶建筑,0.989205,0.0107952,0.976011,2
性价比,成道,0.592,北面的菩提树代表佛祖的成道,0.849934,0.150066,0.66652,2
性价比,游玩,0.614,推荐东线游玩,0.99096,0.00903997,0.979911,2
性价比,玩,0.633,可以玩好几个小时,0.996122,0.00387808,0.991382,2
性价比,玩,0.633,可以先吃点再进去景区游玩,0.990521,0.00947906,0.978936,2
性价比,玩,0.633,想玩久一点的,0.97076,0.0292402,0.935022,2
性价比,游玩,0.614,可以先吃点再进去景区游玩,0.990521,0.00947906,0.978935,2
性价比,想玩久,0.589,想玩久一点的,0.97076,0.0292402,0.935022,2
性价比,角度,0.673,抓紧拍佛顶宫的各种角度外景,0.99827,0.00172971,0.996156,2
环境和景观,景观,0.615,基本都是人工景观,0.314791,0.685209,0.300464,0
环境和景观,景观,0.615,几个景观都是人造的,0.0166195,0.98338,0.963068,0
性价比,观赏性,0.739,实际也只有山顶的佛教建筑有观赏性了,0.482129,0.517871,0.64258,1
性价比,观赏性,0.739,但有点观赏性,0.323301,0.676699,0.281553,0
性价比,观赏性,0.739,实际也只有山顶的佛教建筑有观赏性了,0.482129,0.517871,0.64258,1
性价比,观赏性,0.739,但有点观赏性,0.323301,0.676699,0.281553,0
环境和景观,景观,0.615,基本都是人工景观,0.314791,0.685209,0.300464,0
环境和景观,景观,0.615,几个景观都是人造的,0.0166195,0.98338,0.963068,0
性价比,价值,0.748,建筑有点价值,0.726042,0.273958,0.391205,2
性价比,而成,0.617,由很多种珍贵的玉石精雕细琢而成,0.995856,0.00414422,0.990791,2
性价比,成佛,0.612,释迦摩尼悟道成佛的地方,0.984148,0.0158516,0.964774,2
性价比,免费,0.624,军人凭证件免费,0.98178,0.0182195,0.959512,2
环境和景观,文化底蕴,0.619,文化底蕴深厚,0.99907,0.00093004,0.997933,2
环境和景观,名胜古迹,0.614,名胜古迹所剩无几,0.903574,0.0964256,0.785721,2
性价比,用心,0.639,很用心,0.999616,0.000383573,0.999148,2
环境和景观,地貌,0.623,地貌特征较为丰富,0.699431,0.300569,0.33207,2
性价比,游玩,0.614,不仅南京当地居民来此游玩休闲,0.988659,0.0113407,0.974798,2
文化和历史价值,休闲,0.558,不仅南京当地居民来此游玩休闲,0.988659,0.0113407,0.974798,2
性价比,量,0.588,我们中午出来已经收到景区订票量达到上限,0.975303,0.0246972,0.945117,2
环境和景观,文化底蕴,0.619,文化底蕴深厚,0.99907,0.00093004,0.997933,2
性价比,玩,0.633,路中有无障碍电梯直接佛顶山精华玩,0.986471,0.0135292,0.969935,2
性价比,游玩,0.614,首山旅游景区游玩,0.980932,0.0190681,0.957627,2
性价比,标志性,0.65,佛顶塔当然也是标志性的建筑,0.996067,0.00393353,0.991259,2
