字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,游玩,0.614,选择钟山风景区游玩,0.979608,0.0203915,0.954686,2
性价比,套票,0.634,可以购买景点套票,0.996838,0.00316223,0.992973,2
性价比,玩意,0.644,很值得做这个玩意看完音乐台去灵隐寺人多可以一起打车的,0.999592,0.000407939,0.999093,2
性价比,性,0.692,坐地铁的到达性和便利性更好,0.996692,0.00330824,0.992648,2
性价比,接待室,0.595,一楼为接待室及秘书办公室,0.931563,0.0684374,0.847917,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
性价比,用作,0.622,主要用作纪念孙中山先生仪式时的音乐表演及演讲,0.998476,0.00152381,0.996614,2
性价比,人比,0.664,但是人比鸽子还多,0.84803,0.15197,0.662289,2
环境和景观,名胜古迹,0.614,六朝名胜古迹荟萃之地,0.993195,0.00680514,0.984878,2
性价比,接受,0.908,还能接受,0.886777,0.113223,0.748393,2
性价比,游玩,0.614,推荐游玩路线是：,0.970326,0.0296743,0.934057,2
文化和历史价值,历史,0.647,里面也刻画了很多历史知识,0.998187,0.00181344,0.99597,2
文化和历史价值,历史,0.647,还是应该带孩子和家人来～感受下大自然和历史,0.998086,0.00191367,0.995747,2
性价比,感受,0.66,还是应该带孩子和家人来～感受下大自然和历史,0.998086,0.00191367,0.995747,2
文化和历史价值,历史,0.647,里面也刻画了很多历史知识,0.998187,0.00181344,0.99597,2
文化和历史价值,历史,0.647,还是应该带孩子和家人来～感受下大自然和历史,0.998086,0.00191367,0.995747,2
性价比,价格,0.724,基本价格在5元一张,0.796757,0.203243,0.548348,2
性价比,感受,0.66,我们为了感受梧桐大道,0.975289,0.0247115,0.945086,2
性价比,含金量,0.645,整个风景区的面积和内容含金量都非常好,0.999835,0.000165106,0.999633,2
性价比,售价,0.74,小卖部售价合理,0.979765,0.0202353,0.955033,2
性价比,价钱,0.733,价钱和分量口味竟然还不错,0.861511,0.138489,0.692246,2
性价比,价钱,0.733,价钱都很合理,0.9995,0.00050027,0.998888,2
性价比,价钱,0.733,价钱和分量口味竟然还不错,0.861511,0.138489,0.692246,2
性价比,价钱,0.733,价钱都很合理,0.9995,0.00050027,0.998888,2
设施和服务,平台,0.625,平台特价不限次才30,0.779797,0.220203,0.510661,2
性价比,特价,0.666,平台特价不限次才30,0.779797,0.220203,0.510661,2
性价比,价值,0.748,老实说这些路没啥散步价值,0.0109204,0.98908,0.975732,0
性价比,套票,0.634,买的套票,0.987838,0.0121617,0.972974,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
性价比,免费,0.624,免费当场预约,0.997104,0.00289623,0.993564,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
性价比,免费,0.624,免费当场预约,0.997104,0.00289624,0.993564,2
文化和历史价值,历史,0.647,但对于不喜欢历史的人来讲,0.681049,0.318951,0.291219,2
文化和历史价值,历史,0.647,个人感觉不对历史感兴趣,0.00994386,0.990056,0.977903,0
文化和历史价值,历史,0.647,不喜欢历史,0.0270271,0.972973,0.93994,0
性价比,评价,0.682,个人不做评价,0.0170818,0.982918,0.96204,0
性价比,价格,0.724,景区这个价格还能接受,0.855959,0.144041,0.67991,2
性价比,接受,0.908,景区这个价格还能接受,0.855959,0.144041,0.67991,2
文化和历史价值,历史,0.647,但对于不喜欢历史的人来讲,0.681049,0.318951,0.291219,2
文化和历史价值,历史,0.647,个人感觉不对历史感兴趣,0.00994386,0.990056,0.977903,0
文化和历史价值,历史,0.647,不喜欢历史,0.0270271,0.972973,0.93994,0
文化和历史价值,历史,0.647,但对于不喜欢历史的人来讲,0.681049,0.318951,0.291219,2
文化和历史价值,历史,0.647,个人感觉不对历史感兴趣,0.00994386,0.990056,0.977903,0
文化和历史价值,历史,0.647,不喜欢历史,0.0270271,0.972973,0.93994,0
性价比,价值,0.748,参观价值不大,0.614204,0.385796,0.142675,2
性价比,套票,0.634,如果只打算去两个景点的话不要麦套票不划算一天玩好都够呛,0.355976,0.644024,0.208943,0
性价比,玩好,0.604,如果只打算去两个景点的话不要麦套票不划算一天玩好都够呛,0.355976,0.644024,0.208943,0
性价比,免费,0.624,景区有照相去中山陵景区内楼梯上有免费拍照送钥匙扣照片,0.99313,0.00687025,0.984733,2
设施和服务,爱心,0.628,叶如小爱心,0.970541,0.029459,0.934535,2
环境和景观,环境,0.621,爱护环境,0.981258,0.0187423,0.958351,2
性价比,免费,0.624,中山陵是免费游览的,0.999161,0.00083904,0.998135,2
性价比,接待,0.619,但是周一不接待游客,0.595459,0.404541,0.101021,2
环境和景观,景观,0.615,里面还有红楼梦里的大观园景观这些,0.996796,0.00320374,0.992881,2
文化和历史价值,历史,0.647,同时汇聚了丰富的历史文化遗产,0.999442,0.000558008,0.99876,2
文化和历史价值,历史,0.647,每一个景点都充满了深厚的历史文化底蕴,0.999619,0.000381267,0.999153,2
文化和历史价值,历史,0.647,这些景点展示了南京的历史和文化风貌,0.990368,0.00963169,0.978596,2
文化和历史价值,历史,0.647,同时汇聚了丰富的历史文化遗产,0.999442,0.000558008,0.99876,2
文化和历史价值,历史,0.647,每一个景点都充满了深厚的历史文化底蕴,0.999619,0.000381267,0.999153,2
文化和历史价值,历史,0.647,这些景点展示了南京的历史和文化风貌,0.990368,0.00963169,0.978596,2
