字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
文化和历史价值,历史,0.647,我光是走马观花的逛历史馆和特展馆就花了2小时,0.930178,0.0698215,0.844841,2
文化和历史价值,历史,0.647,感觉一下历史的氛围,0.995109,0.00489056,0.989132,2
文化和历史价值,历史,0.647,跟着浏览顺序来了解历史,0.994021,0.00597909,0.986713,2
环境和景观,环境,0.621,环境非常不错,0.999449,0.000550729,0.998776,2
文化和历史价值,历史,0.647,把我们带入历史的长河,0.996325,0.0036752,0.991833,2
性价比,这位,0.853,希望还能遇到这位阿姨,0.28297,0.71703,0.371177,0
文化和历史价值,历史,0.647,有助于了解城市的历史,0.999304,0.000696452,0.998452,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
环境和景观,环境,0.621,这点夸夸很轻松的环境,0.996158,0.00384156,0.991463,2
性价比,认可,0.926,得到家人的一致认可,0.996173,0.00382669,0.991496,2
文化和历史价值,历史,0.647,来历史古都南京看它的沧桑变化,0.998788,0.00121229,0.997306,2
设施和服务,服务,0.622,服务特别好,0.997872,0.00212783,0.995272,2
性价比,免费,0.624,参观是免费的,0.990946,0.0090542,0.97988,2
性价比,有价值,0.652,南京博物院收藏的文物非常的有价值和纪念意义,0.999721,0.000278672,0.999381,2
性价比,许可,0.605,时间许可的话,0.184158,0.815842,0.590761,0
性价比,玩上,0.607,我每周都来这里玩上一下,0.999798,0.000201648,0.999552,2
文化和历史价值,历史,0.647,去一个城市首先得去它的博物馆了解它的历史,0.987043,0.0129567,0.971207,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,有江苏省历史等等,0.989968,0.0100317,0.977707,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,有江苏省历史等等,0.989968,0.0100317,0.977707,2
性价比,免费,0.624,南京博物馆是免费的,0.980638,0.0193619,0.956974,2
文化和历史价值,历史,0.647,可谓历史悠久,0.989825,0.0101746,0.97739,2
文化和历史价值,历史,0.647,划分为：历史馆,0.960471,0.0395293,0.912157,2
文化和历史价值,历史,0.647,在历史悠久的长河中留下了许多印记,0.997872,0.00212791,0.995271,2
文化和历史价值,历史,0.647,这里的每一品种馆藏都自成历史系列,0.993648,0.00635184,0.985885,2
文化和历史价值,历史,0.647,有太多需要去探索的历史,0.961064,0.0389357,0.913476,2
性价比,自成,0.633,这里的每一品种馆藏都自成历史系列,0.993648,0.00635184,0.985885,2
文化和历史价值,历史,0.647,可谓历史悠久,0.989825,0.0101746,0.97739,2
文化和历史价值,历史,0.647,划分为：历史馆,0.960471,0.0395293,0.912157,2
文化和历史价值,历史,0.647,在历史悠久的长河中留下了许多印记,0.997872,0.00212791,0.995271,2
文化和历史价值,历史,0.647,这里的每一品种馆藏都自成历史系列,0.993648,0.00635184,0.985885,2
文化和历史价值,历史,0.647,有太多需要去探索的历史,0.961064,0.0389357,0.913476,2
性价比,用心,0.639,南京博物院里有太多值得用心去品味的物件,0.98887,0.0111298,0.975267,2
文化和历史价值,历史,0.647,可谓历史悠久,0.989825,0.0101746,0.97739,2
文化和历史价值,历史,0.647,划分为：历史馆,0.960471,0.0395293,0.912157,2
文化和历史价值,历史,0.647,在历史悠久的长河中留下了许多印记,0.997872,0.0021279,0.995271,2
文化和历史价值,历史,0.647,这里的每一品种馆藏都自成历史系列,0.993648,0.00635184,0.985885,2
文化和历史价值,历史,0.647,有太多需要去探索的历史,0.961064,0.0389357,0.913476,2
性价比,数量,0.586,珍贵文物数量居中国第二,0.568786,0.431214,0.0417463,2
性价比,自成,0.633,每一品种又自成历史系列,0.990686,0.00931419,0.979302,2
文化和历史价值,历史,0.647,每一品种又自成历史系列,0.990686,0.00931419,0.979302,2
文化和历史价值,历史,0.647,是数千年中华文明历史发展最为直接的见证,0.998425,0.00157529,0.996499,2
文化和历史价值,历史,0.647,每一品种又自成历史系列,0.990686,0.00931419,0.979302,2
文化和历史价值,历史,0.647,是数千年中华文明历史发展最为直接的见证,0.998425,0.00157529,0.996499,2
性价比,综合性,0.645,是大型综合性的国家级博物馆,0.946094,0.053906,0.880209,2
性价比,综合性,0.645,全国综合性历史艺术博物馆,0.992916,0.00708402,0.984258,2
性价比,综合性,0.645,是大型综合性的国家级博物馆,0.946094,0.053906,0.880209,2
性价比,综合性,0.645,全国综合性历史艺术博物馆,0.992916,0.00708403,0.984258,2
文化和历史价值,历史,0.647,全国综合性历史艺术博物馆,0.992916,0.00708403,0.984258,2
性价比,含金量,0.645,含金量达99,0.992861,0.00713911,0.984135,2
性价比,成形,0.633,浇铸成形,0.93814,0.0618603,0.862533,2
文化和历史价值,历史,0.647,特别值得推荐的是历史博物馆,0.999338,0.000662011,0.998529,2
文化和历史价值,历史,0.647,很有历史学术意义,0.999852,0.000147781,0.999672,2
性价比,综合性,0.645,是大型综合性的国家级博物馆,0.946094,0.053906,0.880209,2
性价比,综合性,0.645,全国综合性历史艺术博物馆,0.992916,0.00708403,0.984258,2
性价比,综合性,0.645,是大型综合性的国家级博物馆,0.946094,0.053906,0.880209,2
性价比,综合性,0.645,全国综合性历史艺术博物馆,0.992916,0.00708403,0.984258,2
