字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
环境和景观,环保,0.634,摆设绿色环保,0.976576,0.023424,0.947947,2
设施和服务,服务,0.622,每一个服务人员热情周到,0.995391,0.00460856,0.989759,2
设施和服务,热情周到,0.63,每一个服务人员热情周到,0.995391,0.00460857,0.989759,2
设施和服务,服务,0.622,整体服务体验不错,0.985481,0.0145191,0.967735,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,晚上夜景不错,0.997173,0.00282683,0.993718,2
环境和景观,夜景,0.619,我们晚上去看了秦淮河的夜景,0.999546,0.000453738,0.998992,2
文化和历史价值,历史,0.647,浓郁的历史氛围,0.996697,0.00330351,0.992659,2
文化和历史价值,历史,0.647,厚重的历史积淀,0.99959,0.000410444,0.999088,2
文化和历史价值,历史,0.647,浓郁的历史氛围,0.996697,0.00330351,0.992659,2
文化和历史价值,历史,0.647,厚重的历史积淀,0.99959,0.000410444,0.999088,2
性价比,感受,0.66,值得慢慢感受,0.999017,0.000983298,0.997815,2
性价比,来玩来,0.628,"遛娃好去处
这个地方真的适合各种人群来玩来体验呀",0.999389,0.000610749,0.998643,2
环境和景观,夜景,0.619,夜景是这里的一绝,0.998844,0.00115619,0.997431,2
环境和景观,夜景,0.619,夜景更是这边独好,0.973042,0.0269583,0.940093,2
环境和景观,环境,0.621,环境优雅,0.998861,0.00113866,0.99747,2
环境和景观,夜景,0.619,夜景很不错,0.999101,0.0008989,0.998002,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,有历史,0.996064,0.00393555,0.991254,2
环境和景观,夜景,0.619,特别是夜景,0.998317,0.0016832,0.99626,2
性价比,選擇性,0.604,就是吃的選擇性少,0.985075,0.0149245,0.966834,2
性价比,感受,0.66,坐船感受下江南,0.995506,0.00449359,0.990014,2
性价比,游玩,0.614,南京最漂亮的金陵建筑群适合情侣游玩打卡,0.999676,0.000324326,0.999279,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,来南京玩,0.99012,0.00988035,0.978044,2
性价比,感受到,0.6,你能感受到不一样的美好,0.999817,0.000183317,0.999593,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,好玩好玩太好玩了大家都去玩一下吧,0.999919,8.10474e-05,0.99982,2
环境和景观,人文,0.611,人文景点,0.993073,0.00692735,0.984606,2
环境和景观,地标,0.618,南京的地标之一,0.999074,0.000925864,0.997942,2
性价比,便宜,0.689,便宜快捷,0.997871,0.00212931,0.995268,2
环境和景观,环境,0.621,环境还是非常不错的,0.99105,0.00895033,0.98011,2
性价比,便宜,0.689,坐便宜的游船就好了,0.965737,0.0342627,0.923861,2
性价比,玩,0.633,经常去玩的小朋友很喜欢的,0.999908,9.18395e-05,0.999796,2
环境和景观,人文,0.611,人文历史印记非常的多,0.997742,0.00225774,0.994983,2
文化和历史价值,历史,0.647,人文历史印记非常的多,0.997742,0.00225774,0.994983,2
性价比,游玩,0.614,宝宝游玩的好地方不错的,0.999402,0.000598268,0.998671,2
性价比,玩儿,0.627,啊啊啊啊啊啊值得去玩儿,0.999197,0.0008035,0.998214,2
性价比,玩,0.633,值得去玩,0.999679,0.000321157,0.999286,2
性价比,玩,0.633,挺有游玩的乐趣,0.999278,0.000721663,0.998396,2
性价比,游玩,0.614,挺有游玩的乐趣,0.999278,0.000721663,0.998396,2
性价比,性价比,1.0,性价比很高,0.99989,0.000110221,0.999755,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,游玩,0.614,适合带孩子游玩,0.999222,0.000777909,0.998271,2
环境和景观,水景,0.622,繁华的水景风光,0.998539,0.00146118,0.996753,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
设施和服务,设施,0.621,设施齐全舒适宜人,0.998723,0.00127736,0.997162,2
设施和服务,服务,0.622,服务热情性价比很高,0.99917,0.000830354,0.998155,2
性价比,性价比,1.0,服务热情性价比很高,0.99917,0.000830356,0.998155,2
性价比,标志性,0.65,夫子庙秦淮风光带是南京的标志性景点,0.995682,0.00431761,0.990405,2
性价比,免费,0.624,而且是免费的哟,0.995661,0.00433848,0.990359,2
性价比,游玩,0.614,以后又多了一个周末游玩的好地方,0.999644,0.000356479,0.999208,2
环境和景观,夜景,0.619,晚上的夜景也真的是挺好的,0.999624,0.000375844,0.999165,2
设施和服务,商品,0.89,这里的商品应有尽有质量保证价格太贵了买不起啊,0.822943,0.177057,0.60654,2
性价比,价格,0.724,这里的商品应有尽有质量保证价格太贵了买不起啊,0.822943,0.177057,0.60654,2
环境和景观,环境,0.621,这里的环境还不错,0.941641,0.0583588,0.870314,2
性价比,玩玩,0.634,有时间大家可以去看看玩玩,0.993306,0.00669428,0.985124,2
环境和景观,景观,0.615,夫子庙秦淮河风光带是南京城内最具盛名的传统特色商业街区和景观街区,0.994768,0.00523234,0.988373,2
性价比,性价比,1.0,性价比非常高,0.999925,7.48652e-05,0.999834,2
性价比,游玩,0.614,第二次游玩,0.996475,0.00352477,0.992167,2
性价比,属性,0.704,加上秦淮河自带的民国风和美人属性,0.9945,0.00549975,0.987778,2
设施和服务,服务态度,0.621,服务态度好,0.984013,0.0159866,0.964474,2
性价比,服务态度,0.573,服务态度好,0.984013,0.0159866,0.964474,2
环境和景观,夜景,0.619,特别是夜景,0.998317,0.0016832,0.99626,2
环境和景观,环境,0.621,不错的环境,0.996565,0.00343468,0.992367,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,经常带孩子过去玩,0.999344,0.000655843,0.998543,2
性价比,游玩,0.614,去了南京怎能不到这里打卡游玩,0.99505,0.00495035,0.988999,2
环境和景观,环境,0.621,环境非常干净,0.999475,0.000525416,0.998832,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
设施和服务,设施,0.621,设施和布景很好,0.997646,0.0023537,0.99477,2
文化和历史价值,历史,0.647,有历史,0.996064,0.00393555,0.991254,2
环境和景观,景观,0.615,有景观,0.985793,0.0142072,0.968428,2
环境和景观,夜景,0.619,尤其是夜景,0.991055,0.00894471,0.980123,2
环境和景观,夜景,0.619,夜景非常的漂亮,0.999958,4.16446e-05,0.999907,2
设施和服务,汉服,0.638,好多穿汉服的小姐姐,0.988824,0.0111757,0.975165,2
