字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
环境和景观,环境,0.621,环境清净,0.990337,0.00966324,0.978526,2
文化和历史价值,历史,0.647,带娃了解历史,0.998674,0.00132556,0.997054,2
性价比,成景,0.637,四季皆可成景,0.990387,0.00961332,0.978637,2
环境和景观,自然景观,0.612,自然景观和历史景观十分和谐,0.997802,0.00219767,0.995116,2
文化和历史价值,历史,0.647,自然景观和历史景观十分和谐,0.997802,0.00219767,0.995116,2
环境和景观,景观,0.615,自然景观和历史景观十分和谐,0.997802,0.00219767,0.995116,2
文化和历史价值,历史,0.647,历史文化底蕴比较丰富,0.98787,0.0121302,0.973044,2
环境和景观,文化底蕴,0.619,历史文化底蕴比较丰富,0.98787,0.0121302,0.973044,2
文化和历史价值,历史,0.647,历史的厚重感,0.999606,0.000393572,0.999125,2
性价比,便宜,0.689,便宜不了多少,0.36035,0.63965,0.199221,0
环境和景观,环境,0.621,环境特别好,0.999569,0.000431427,0.999041,2
文化和历史价值,历史,0.647,历史古迹,0.997316,0.00268381,0.994036,2
环境和景观,古迹,0.61,历史古迹,0.997316,0.00268381,0.994036,2
文化和历史价值,历史,0.647,历史古迹,0.997316,0.00268381,0.994036,2
环境和景观,古迹,0.61,历史古迹,0.997316,0.00268381,0.994036,2
性价比,票价,0.677,就这种景区也就值20元票价,0.00478667,0.995213,0.989363,0
文化和历史价值,历史,0.647,了解明朝历史的一面镜子,0.999312,0.000688161,0.998471,2
文化和历史价值,历史,0.647,了解明朝历史的一面镜子,0.999312,0.000688161,0.998471,2
性价比,玩,0.633,要做好安全至少半天时间玩的准备,0.314285,0.685715,0.30159,0
性价比,玩,0.633,要做好安全至少半天时间玩的准备,0.314285,0.685715,0.30159,0
性价比,玩,0.633,要做好安全至少半天时间玩的准备,0.314285,0.685715,0.30159,0
环境和景观,古迹,0.61,但是从古迹来看很一般,0.172808,0.827192,0.615982,0
性价比,优惠,0.682,提前一天购买比现场优惠,0.985184,0.0148156,0.967076,2
设施和服务,服务,0.622,服务非常周到,0.996919,0.0030811,0.993153,2
设施和服务,服务,0.622,服务非常周到,0.996919,0.0030811,0.993153,2
性价比,玩,0.633,只玩一天或者半天的一定不要买联票,0.00824651,0.991754,0.981674,0
文化和历史价值,历史,0.647,600多年的历史,0.996103,0.00389733,0.991339,2
环境和景观,环境,0.621,环境很好,0.998906,0.00109376,0.997569,2
性价比,费用,0.671,把单人费用降下来点,0.253979,0.746021,0.435603,0
设施和服务,服务,0.622,前台薇薇和大纯服务贴心,0.991159,0.00884077,0.980354,2
文化和历史价值,历史,0.647,浓厚的历史气息,0.999388,0.000611941,0.99864,2
文化和历史价值,历史,0.647,古色古香的历史建筑,0.999586,0.000414156,0.99908,2
文化和历史价值,历史,0.647,见证着南京的历史变迁,0.999585,0.000414998,0.999078,2
文化和历史价值,历史,0.647,浓厚的历史气息,0.999388,0.00061194,0.99864,2
文化和历史价值,历史,0.647,古色古香的历史建筑,0.999586,0.000414157,0.99908,2
文化和历史价值,历史,0.647,见证着南京的历史变迁,0.999585,0.000414998,0.999078,2
文化和历史价值,历史,0.647,浓厚的历史气息,0.999388,0.000611941,0.99864,2
文化和历史价值,历史,0.647,古色古香的历史建筑,0.999586,0.000414157,0.99908,2
文化和历史价值,历史,0.647,见证着南京的历史变迁,0.999585,0.000414998,0.999078,2
文化和历史价值,历史,0.647,主要领孩子感受一下历史文化,0.993816,0.00618398,0.986258,2
文化和历史价值,历史,0.647,"历史遗迹
",0.994079,0.00592103,0.986842,2
文化和历史价值,历史,0.647,感受历史,0.999521,0.000478997,0.998936,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,感受,0.66,感受历史,0.999521,0.000478997,0.998936,2
文化和历史价值,历史,0.647,"历史遗迹
",0.994079,0.00592103,0.986842,2
文化和历史价值,历史,0.647,感受历史,0.999521,0.000478997,0.998936,2
性价比,玩全,0.602,但是大半天就走马观花玩全了,0.969437,0.0305625,0.932083,2
性价比,便宜,0.689,门票不便宜,0.875032,0.124968,0.722294,2
性价比,便宜,0.689,哪怕景区里面的东西都比门口小卖部的便宜,0.503091,0.496909,0.938179,1
性价比,性价比,1.0,性价比就很差,0.000808306,0.999192,0.998204,0
性价比,便宜,0.689,门票不便宜,0.875032,0.124968,0.722294,2
性价比,便宜,0.689,哪怕景区里面的东西都比门口小卖部的便宜,0.503091,0.496909,0.938179,1
环境和景观,自然景观,0.612,明孝陵周围的自然景观也十分美丽,0.999893,0.000106732,0.999763,2
性价比,感受,0.66,感受大自然的宁静与美丽,0.999834,0.000166015,0.999631,2
设施和服务,服务态度,0.621,服务态度很好,0.991091,0.00890883,0.980203,2
性价比,服务态度,0.573,服务态度很好,0.991091,0.00890883,0.980203,2
性价比,玩,0.633,不枉费我远远的来到南京来玩,0.979955,0.0200447,0.955456,2
环境和景观,古迹,0.61,古迹不太多,0.930637,0.0693627,0.845861,2
环境和景观,环境优美,0.622,环境优美,0.999537,0.00046279,0.998972,2
环境和景观,古迹,0.61,古迹保护的很好,0.999354,0.000645774,0.998565,2
环境和景观,山清水秀,0.628,山清水秀,0.999664,0.000336415,0.999252,2
文化和历史价值,历史,0.647,喜欢明代历史的可以进去看看,0.999518,0.000482135,0.998929,2
环境和景观,环境,0.621,环境不错,0.989503,0.0104973,0.976673,2
环境和景观,环境优美,0.622,环境优美,0.999537,0.00046279,0.998972,2
性价比,玩完,0.591,能把重要的景点玩完,0.973965,0.0260346,0.942145,2
文化和历史价值,历史,0.647,600多年明朝的历史,0.995869,0.00413057,0.990821,2
环境和景观,环境优美,0.622,环境优美装潢讲究气势恢宏人气挺高值得带着孩子来逛逛不错哦⊙,0.999658,0.000341895,0.99924,2
环境和景观,文化底蕴,0.619,南京的文化底蕴确实深厚,0.999029,0.000971047,0.997842,2
性价比,游玩,0.614,值得游玩,0.999276,0.000723712,0.998392,2
环境和景观,文化底蕴,0.619,文化底蕴深厚,0.99907,0.00093004,0.997933,2
环境和景观,环境,0.621,环境不错,0.989503,0.0104973,0.976673,2
环境和景观,环境,0.621,景区环境很好,0.997097,0.00290316,0.993549,2
设施和服务,服务态度,0.621,服务态度很好,0.991091,0.00890883,0.980203,2
性价比,服务态度,0.573,服务态度很好,0.991091,0.00890883,0.980203,2
环境和景观,卫生,0.62,干净卫生,0.997482,0.00251774,0.994405,2
性价比,游玩,0.614,游玩很开心,0.999879,0.000120784,0.999732,2
环境和景观,环境,0.621,将中国历代传承下来建筑艺术与环境美学较好的融合于一体,0.99763,0.00237002,0.994733,2
文化和历史价值,历史,0.647,了解历史,0.999304,0.000695607,0.998454,2
环境和景观,环境,0.621,景区环境好,0.992926,0.00707371,0.984281,2
文化和历史价值,历史,0.647,历史的明孝陵,0.99988,0.000120306,0.999733,2
环境和景观,环境优美,0.622,环境优美空气干净,0.997613,0.00238685,0.994696,2
性价比,系统性,0.662,系统性强,0.999319,0.000681246,0.998486,2
环境和景观,环境,0.621,环境不错,0.989503,0.0104973,0.976673,2
环境和景观,园林景观,0.617,园林景观很漂亮,0.999859,0.000141033,0.999686,2
文化和历史价值,历史,0.647,了解一段历史,0.998819,0.00118076,0.997376,2
环境和景观,环境优美,0.622,环境优美,0.999537,0.00046279,0.998972,2
性价比,游玩,0.614,游玩的很开心,0.999884,0.00011584,0.999743,2
文化和历史价值,历史,0.647,才能了解历史知识,0.996906,0.00309357,0.993125,2
性价比,玩,0.633,玩的很开心,0.999967,3.26439e-05,0.999928,2
性价比,玩,0.633,玩的很开心,0.999967,3.26439e-05,0.999928,2
性价比,玩,0.633,玩的很开心,0.999967,3.26439e-05,0.999928,2
环境和景观,环境,0.621,整体环境好,0.995545,0.00445516,0.9901,2
性价比,价比高,0.649,信价比高,0.980536,0.0194642,0.956746,2
性价比,套票,0.634,套票很合适,0.999863,0.000136642,0.999696,2
性价比,爱玩,0.631,可能对于爱热闹爱玩的朋友来说,0.954769,0.0452312,0.899486,2
性价比,反差,0.679,对比反差如此之大,0.00257127,0.997429,0.994286,0
文化和历史价值,历史,0.647,文化历史悠久,0.998032,0.00196755,0.995628,2
文化和历史价值,历史,0.647,历史文化教育必选之地,0.999722,0.000278295,0.999382,2
文化和历史价值,历史,0.647,如果对历史有兴趣,0.139349,0.860651,0.690336,0
性价比,游玩,0.614,游玩还是挺有意思的,0.996198,0.00380155,0.991552,2
性价比,饱受,0.621,饱受战乱洗礼,0.959736,0.0402637,0.910525,2
环境和景观,古迹,0.61,国家为了维护古迹,0.891194,0.108806,0.75821,2
设施和服务,维修,0.642,碑殿就在维修中,0.859178,0.140822,0.687062,2
性价比,采用,0.662,现在景区的探访采用VR形式,0.988222,0.0117783,0.973826,2
性价比,形式,0.664,现在景区的探访采用VR形式,0.988222,0.0117783,0.973826,2
文化和历史价值,历史,0.647,历史遗迹,0.994079,0.00592103,0.986842,2
文化和历史价值,历史,0.647,对历史感兴趣的话可以来逛逛,0.996626,0.00337441,0.992501,2
性价比,游玩,0.614,"自己游玩
有点乱",0.632618,0.367382,0.183595,2
性价比,免费,0.624,"原来是那样的结构
免费拍照取照片",0.972291,0.0277086,0.938425,2
文化和历史价值,历史,0.647,想了解明朝的历史,0.994565,0.00543461,0.987923,2
性价比,玩,0.633,在这里玩的很开心,0.999924,7.64414e-05,0.99983,2
文化和历史价值,历史,0.647,学到了很多历史,0.996316,0.0036843,0.991813,2
文化和历史价值,历史,0.647,听了很多历史背景故事,0.998137,0.00186332,0.995859,2
性价比,感受,0.66,感受历史长河,0.996887,0.00311322,0.993082,2
性价比,趣味性,0.726,既有趣味性又有历史性,0.993098,0.00690148,0.984663,2
性价比,感受,0.66,感受历史长河,0.996887,0.00311322,0.993082,2
性价比,趣味性,0.726,既有趣味性又有历史性,0.993098,0.00690148,0.984663,2
性价比,套票,0.634,首先强烈不建议买套票,0.00210852,0.997891,0.995314,0
性价比,相比,0.665,人相比其他景点要少很多,0.9041,0.0959001,0.786889,2
性价比,套票,0.634,虽然买了套票,0.987815,0.0121845,0.972923,2
性价比,玩,0.633,但是一个上午的时间只玩了明孝陵和美龄宫两个景点,0.993519,0.00648118,0.985597,2
性价比,难受,0.603,实在是热的难受,0.000445829,0.999554,0.999009,0
文化和历史价值,历史,0.647,明孝陵的历史古迹保存的很好,0.999883,0.000116886,0.99974,2
环境和景观,古迹,0.61,明孝陵的历史古迹保存的很好,0.999883,0.000116886,0.99974,2
性价比,价格,0.724,但50块钱的价格也对得起一个上午的出行了,0.472566,0.527434,0.451324,1
文化和历史价值,公园,0.555,公园很美,0.999795,0.000204723,0.999545,2
环境和景观,古迹,0.61,古迹保存的很好,0.99902,0.0009797,0.997823,2
性价比,感受,0.66,感受历史文化,0.99977,0.000230504,0.999488,2
文化和历史价值,历史,0.647,感受历史文化,0.99977,0.000230504,0.999488,2
性价比,无比,0.621,怀着无比崇敬的心情走了一圈,0.998888,0.00111182,0.997529,2
性价比,玩,0.633,可以玩一天,0.997658,0.00234146,0.994797,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,卫生,0.62,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
设施和服务,服务,0.622,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
不错",0.991167,0.00883312,0.980371,2
环境和景观,环境,0.621,"干净卫生
服务：可以
环境：好
很不错",0.993295,0.00670452,0.985101,2
性价比,玩得,0.658,真心玩得不错,0.999119,0.000881185,0.998042,2
文化和历史价值,休闲,0.558,的确是休闲的好地方,0.999375,0.000625535,0.99861,2
环境和景观,古迹,0.61,石相生神道是原物外能看到的古迹不多,0.97875,0.0212498,0.952778,2
性价比,免费,0.624,希望景区能有免费的通勤车,0.948426,0.0515736,0.885392,2
文化和历史价值,历史,0.647,有历史气息,0.998967,0.00103289,0.997705,2
环境和景观,人文,0.611,还有人文气息,0.991682,0.00831784,0.981516,2
环境和景观,环境优美,0.622,里面环境优美,0.998726,0.00127375,0.99717,2
性价比,玩,0.633,玩是挺好玩的,0.999172,0.000827891,0.99816,2
文化和历史价值,公园,0.555,就当逛大公园吧,0.396731,0.603269,0.118375,0
性价比,趣味性,0.726,趣味性一般般,0.0295327,0.970467,0.934372,0
性价比,性价比,1.0,性价比一般,0.00913848,0.990861,0.979692,0
设施和服务,服务,0.622,但景点服务不行,0.268161,0.731839,0.404087,0
性价比,游玩,0.614,整体游玩有趣,0.99346,0.00654037,0.985466,2
文化和历史价值,历史,0.647,多多理解文化与历史,0.990371,0.00962938,0.978601,2
设施和服务,热情服务,0.617,热情服务,0.929998,0.0700015,0.844441,2
文化和历史价值,历史,0.647,王老师很有历史底蕴,0.999932,6.75662e-05,0.99985,2
性价比,物价,0.669,希望景区内物价能够再降一降就好了,0.653325,0.346675,0.229612,2
性价比,价格,0.724,价格有点贵,0.00702287,0.992977,0.984394,0
性价比,游玩,0.614,可以慢慢游玩,0.99839,0.00161016,0.996422,2
文化和历史价值,历史,0.647,了解了很多历史知识,0.999416,0.000584425,0.998701,2
环境和景观,文化底蕴,0.619,有些深层的文化底蕴,0.947712,0.0522885,0.883804,2
设施和服务,设施,0.621,神道等附属设施,0.984281,0.0157191,0.965069,2
性价比,游玩,0.614,游玩当天直接刷身份证进门就行,0.960729,0.0392715,0.91273,2
