字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
环境和景观,交通不便,0.617,交通不便,0.76567,0.23433,0.479267,2
性价比,玩,0.633,带小朋友玩很合适,0.999764,0.000235982,0.999476,2
性价比,玩得,0.658,玩得特别开心,0.999919,8.13817e-05,0.999819,2
性价比,免费,0.624,"
免费中山陵赶上了",0.99654,0.00345973,0.992312,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
文化和历史价值,历史,0.647,"

据说音乐台在中国历史上也是有一定地位的,可惜艾小米在此之前从来没听说过

音乐是没有听到,喷泉很大,嗯,著名的鸽子也是很多,不过喂鸽子可能还是要像伟仔那样子喂比较有意思

反正买了联票,纯粹打卡了解一下历史,特地过来喂鸽子也是没必要,但是除了喂鸽子好像也没有其他东西可以玩了,要么坐下来休息一下,那也要合适的天气和温度

鸽子太多有些吵,人也很多有些吵",0.817303,0.182697,0.594007,2
文化和历史价值,历史,0.647,"

据说音乐台在中国历史上也是有一定地位的,可惜艾小米在此之前从来没听说过

音乐是没有听到,喷泉很大,嗯,著名的鸽子也是很多,不过喂鸽子可能还是要像伟仔那样子喂比较有意思

反正买了联票,纯粹打卡了解一下历史,特地过来喂鸽子也是没必要,但是除了喂鸽子好像也没有其他东西可以玩了,要么坐下来休息一下,那也要合适的天气和温度

鸽子太多有些吵,人也很多有些吵",0.817303,0.182697,0.594007,2
性价比,玩,0.633,"

据说音乐台在中国历史上也是有一定地位的,可惜艾小米在此之前从来没听说过

音乐是没有听到,喷泉很大,嗯,著名的鸽子也是很多,不过喂鸽子可能还是要像伟仔那样子喂比较有意思

反正买了联票,纯粹打卡了解一下历史,特地过来喂鸽子也是没必要,但是除了喂鸽子好像也没有其他东西可以玩了,要么坐下来休息一下,那也要合适的天气和温度

鸽子太多有些吵,人也很多有些吵",0.817303,0.182697,0.594007,2
环境和景观,温度,0.635,"

据说音乐台在中国历史上也是有一定地位的,可惜艾小米在此之前从来没听说过

音乐是没有听到,喷泉很大,嗯,著名的鸽子也是很多,不过喂鸽子可能还是要像伟仔那样子喂比较有意思

反正买了联票,纯粹打卡了解一下历史,特地过来喂鸽子也是没必要,但是除了喂鸽子好像也没有其他东西可以玩了,要么坐下来休息一下,那也要合适的天气和温度

鸽子太多有些吵,人也很多有些吵",0.817303,0.182697,0.594007,2
性价比,温度,0.69,"

据说音乐台在中国历史上也是有一定地位的,可惜艾小米在此之前从来没听说过

音乐是没有听到,喷泉很大,嗯,著名的鸽子也是很多,不过喂鸽子可能还是要像伟仔那样子喂比较有意思

反正买了联票,纯粹打卡了解一下历史,特地过来喂鸽子也是没必要,但是除了喂鸽子好像也没有其他东西可以玩了,要么坐下来休息一下,那也要合适的天气和温度

鸽子太多有些吵,人也很多有些吵",0.817303,0.182697,0.594007,2
文化和历史价值,公园,0.555,逛逛公园,0.989882,0.0101179,0.977516,2
性价比,趣味性,0.726,趣味性强,0.998274,0.001726,0.996164,2
性价比,性价比,1.0,性价比超高的,0.999951,4.87741e-05,0.999892,2
设施和服务,服务,0.622,服务不是很好,0.0987857,0.901214,0.780476,0
性价比,玩,0.633,玩的很累,0.98646,0.0135403,0.96991,2
性价比,免费,0.624,这个景点是免费的,0.969037,0.0309635,0.931192,2
性价比,长成,0.607,竹笋也都长成挺拔秀丽的竹子,0.946288,0.0537121,0.88064,2
性价比,性价比,1.0,没啥性价比,0.00673589,0.993264,0.985031,0
设施和服务,服务,0.622,使用这个服务还是很超值的,0.994197,0.00580292,0.987105,2
性价比,接触,0.615,"可以近距离接触
鸽子会飞来飞去",0.972565,0.0274354,0.939032,2
性价比,速度,0.705,速度很快,0.999424,0.000575719,0.998721,2
性价比,机位,0.858,"一定要提前找好机位
选择一个晴朗的天气真的超级治愈",0.99965,0.000349527,0.999223,2
性价比,游玩,0.614,在南京游玩的几天天气不是很好,0.793993,0.206007,0.542208,2
性价比,套票,0.634,非常合适～套票也很划算,0.999986,1.38382e-05,0.999969,2
性价比,套票,0.634,买的套票92元,0.90436,0.0956398,0.787467,2
性价比,性价比,1.0,性价比虽不高,0.135498,0.864502,0.698893,0
性价比,成,0.618,景区内外观光车建议统一成一种,0.955838,0.0441624,0.901861,2
性价比,高度,0.71,对明孝陵做了一个高度总结,0.966366,0.0336337,0.925259,2
性价比,感受,0.66,带娃感受历史文化气息,0.999766,0.000233965,0.99948,2
文化和历史价值,历史,0.647,带娃感受历史文化气息,0.999766,0.000233964,0.99948,2
性价比,免费,0.624,明孝陵景区出了明孝陵外还有免费开放的明孝陵博物馆和东吴大帝孙权纪念馆,0.9997,0.000300186,0.999333,2
文化和历史价值,历史,0.647,东吴和明朝初期的历史,0.992962,0.00703843,0.984359,2
性价比,趣味性,0.726,整体感觉趣味性和景色一般吧,0.201594,0.798406,0.552014,0
文化和历史价值,历史,0.647,主要是了解历史,0.99458,0.00541965,0.987956,2
文化和历史价值,历史,0.647,明孝陵的深沉历史感,0.999884,0.000115606,0.999743,2
文化和历史价值,历史,0.647,沉浸在历史的厚重里无法自拔,0.9999,0.000100081,0.999778,2
设施和服务,服务,0.622,省会城市的服务就是不一样啊,0.930083,0.0699169,0.844629,2
性价比,免费,0.624,免费开放给南京人提供一个完美的休闲健身场所,0.99928,0.00072028,0.998399,2
设施和服务,提供,0.621,免费开放给南京人提供一个完美的休闲健身场所,0.99928,0.00072028,0.998399,2
文化和历史价值,休闲,0.558,免费开放给南京人提供一个完美的休闲健身场所,0.99928,0.00072028,0.998399,2
性价比,游玩,0.614,"
所以从游玩的角度来说最喜欢的是灵谷寺和音乐台",0.998565,0.00143531,0.99681,2
性价比,角度,0.673,"
所以从游玩的角度来说最喜欢的是灵谷寺和音乐台",0.998565,0.00143531,0.99681,2
性价比,半价,0.638,学生票半价,0.967749,0.0322507,0.928332,2
性价比,有可能,0.618,不要打出租车司机很有可能不打表,0.0880466,0.911953,0.804341,0
性价比,角度,0.673,景色的话主要看自己找角度吧,0.903296,0.0967037,0.785103,2
环境和景观,环境,0.621,环境蛮好的,0.98961,0.0103895,0.976912,2
性价比,玩,0.633,玩一天真的很累,0.973284,0.026716,0.940631,2
性价比,玩,0.633,还挺好玩的,0.998526,0.00147384,0.996725,2
文化和历史价值,历史,0.647,承载了很多历史文化底蕴,0.999781,0.000218977,0.999513,2
环境和景观,文化底蕴,0.619,承载了很多历史文化底蕴,0.999781,0.000218977,0.999513,2
性价比,接驳,0.622,好在景区内有接驳车,0.92833,0.0716702,0.840733,2
性价比,接驳,0.622,但如果遇到节假日那这个接驳车要排队等候很久,0.804668,0.195332,0.565929,2
性价比,接驳,0.622,好在景区内有接驳车,0.92833,0.0716702,0.840733,2
性价比,接驳,0.622,但如果遇到节假日那这个接驳车要排队等候很久,0.804668,0.195332,0.565929,2
性价比,玩,0.633,那最多玩两个景区一天时间,0.984405,0.0155954,0.965343,2
性价比,玩,0.633,不坐你就玩不完走断腿,0.275895,0.724105,0.386901,0
性价比,玩,0.633,有趣好玩,0.999932,6.75351e-05,0.99985,2
性价比,玩,0.633,那最多玩两个景区一天时间,0.984405,0.0155954,0.965343,2
性价比,玩,0.633,不坐你就玩不完走断腿,0.275895,0.724105,0.386901,0
性价比,玩,0.633,有趣好玩,0.999932,6.75351e-05,0.99985,2
性价比,套票,0.634,买套票也比较划算,0.998217,0.00178249,0.996039,2
