用户名,时间,内容,星级,点赞,,,
食光旅行ZGF,"2023-10-29
??更新于2023-10-3105:53"," 南京博物院占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。 博物院珍贵文物数量居中国第二，国宝级文物和国家一级文物有二千件以上，上至旧石器时代，下迄当代，既有全国性的，又有江苏地域性的；既有宫廷传世品，又有考古发掘品，还有一部分来源于社会征集及捐赠，均为历朝历代的珍品佳作，可以说是一座巨大的中华民族文化艺术宝库。青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、丝织刺绣、书画、印玺、碑刻造像等文物品类一应俱有，每一品种又自成历史系列，成为数千年中华文明历史发展最为直接的见证。   		   ",4.5,0, , , 
Faye,2023-10-3117:07," 二刷南博体验： 关于预约：定闹钟提前一周下午六点开抢。当天：早上九点放当天的。10分钟内还是有余票的。 参观体验：由于是提前预约制，人少了不少，参观体验不错。建议租20元导览足够。 下午两点到四点可以去老茶馆听评弹喝茶。就在民国馆里面。虽然听不懂但是很好听，有字幕也有互动很不错。冰箱贴小粉炉非常富裕随便挑随便买。   		   ",5,0, , , 
漂亮的佩琪,2023-10-3115:54," 太大了，很震撼，馆馆之间的导引很清楚，设备先进，科技感强，还有很多可以吃饭的地方！馆内的工作人员很多，秩序还是很不错的。建议非假期来，我们工作日来的，都觉得人很多了！提前预约，不要直接来啊！带水哦，里面的吃的喝的不便宜。   		   ",5,2, , , 
火锅小姐西西,2023-11-0115:01," 中国三大博物院之一，藏品多到放的太满以至于会忘记啊它们真的很珍贵博物院有历史馆、数字馆、特展馆、艺术馆、非遗馆、民国馆，详细参观建议一天时间，我们主要去了历史馆和特展馆。  历史馆一共两层，一路走下去能看到各个朝代江苏历史、文明的衍变。分享我喜欢的几件藏品.  1.青花瓷盖、瓷片（唐），尽管不完整，但是这是目前为止发现最早的青花瓷，这件青花瓷的发现，将中国烧造青花瓷的历史提早了将近500年。  2·镇护之宝金兽，最晚可追溯至西汉，是我国出土的古代金器中最重的一件，而且他还萌萌的。  3.清朝佛龛，没有一处不精致，放大了连仙鹤身上的不同纹路都栩栩如生，再次感叹匠人精神的细致、精巧、严谨，现代工业文明固然让生产制造更加方便快捷，但是统一的复制品丧失了很多美感和惊喜。  4·钟表展，这里展出的钟表造型不一，花样繁复精致，主要是清宫做钟处出品和英美等国赠送的礼品，在清宫做钟处出品的钟表里还能看出和儒家文化的结合，很有意思。  5大雅斋瓷器，这是专门为慈禧做瓷器的地方，上面都会写“天地一家春”，这是圆明园一地名，是慈禧受宠的地方，不知道后来她每次用大雅斋瓷器看到这几个字会不会觉得命运的轮盘从这里开始转动哈哈。  南博还有很多值得看的，金缕玉衣、陈之佛先生的画等等，不虚此行。   		   ",5,4, , , 
媚,2023-10-2516:51," 如果是准备周末出行，那必须在公众号上蹲守着才能预约到。上出租和司机说去博物院，被吐槽了一路，这么堵的路你啊晓得乘地铁啦？！博物馆里人流熙熙攘攘，想安安静静看展是不可能的。周末体验感非常不好，下次还是选个非周末再来。   		   ",4,5, , , 
五月拾遗,2023-10-0617:10," 南京博物院位于南京市玄武区中山东路321号 是中国三大博物馆之一 其珍贵文物数量居中国第二 仅次于故宫博物院  南博为“一院六馆”格局 即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆 建议做好南博参观攻略再去 我们因为当天上午才约到票 所以比较匆忙 当然也因为体力有限等众多因素 我们一共就参观了历史馆、特展馆和民国馆3个馆  西汉时期的金兽，是迄今我国出土文物中最大最重的金器，被誉为”国之瑰宝”。 西晋青瓷神兽尊，造型独特，神态惊人，全身刻满纹饰是我国最早有铭款的瓷器之一。 广陵王玺金印，由高纯度黄金制成，龟钮精致，纹饰优美。 竹林七贤砖画等一件件藏品无一不令我震撼 古人的智慧远远超越了时代的局限 让后人叹为观止  最后 建议避开人流高峰期前往参观   		   ",4.5,0, , , 
貓霸天,2023-10-1719:31," 提前一周在公主号上预约，不是旅游旺季提前三四天就行了，不抢名额 ??爱逛博物馆的，想一次逛完南京博物院的要留至少三小时，或者分两次来 ??如果预留时间不多，或者对历史文化兴趣缺缺，建议有选择性游览展厅 免费参观，肯定人多，人多就影响观展体验，十月中旬，外面28度，室内空调不给力，空气不好，还热 ??不建议带五岁以下的孩子，展品没娱乐性缺乏互动，婴儿车在人流中推行不便，孩子既看不懂又吵闹干扰他人 ?有免费饮水处，在厕所边上热水器供水，女厕蹲位不多，大人流数下排队吃力，打扫还算及时，厕所还算干净  以下为个人观展感受 唐代之前的展厅，展品艺术价值不高，纯历史文化向，除对战国礼仪文化感兴趣的，建议这里一览而过 唐代开始，展品艺术价值质的飞升，更具有艺术性，人文感，比较有趣 ??民国展厅是休息的商业街，像上海的北外滩来福士，纯娱乐消费区域，打卡拍照休息吃喝玩乐 出来的雕塑作品展，近现代的书法展，油画展，都比较有艺术价值，雕塑展真的很推荐，感觉好看的大件都在这里 镇馆之宝的金兽，要出口出来在特展厅，如果时间掐着闭馆了会很赶场打卡，所以衡量一下  整个南京博物院，预约免费参观的前提下，不管是展品数量还是展品内容，都无比大方，是非常适合打卡，来吸收文化的 体力好，对历史感兴趣的可以租讲解机，真的好逛，但费腿   		   ",4,1, , , 
mashangchufa123,2023-10-1717:28," 很开心成功预约。  人很多，但大家都很遵守秩序，可以沉下心来去感受南京深厚的文化底蕴和历史传承。  展馆多展品更多，入口处有讲解设备，展品旁边也有码可扫，方便全面解读。我们时间有限，就没有去排队租设备了，所以有点走马观花了。  一趟走完人好累但长了好多见识，心也累因为知道自己知识面是真的浅而窄，见识也少，今后要多学习，多参观，充实自己的知识与精神层面。   		   ",5,7, , , 
shirley_chou,2023-09-1711:18," 南京博物院是中国三大博物院之一，另外两个是故宫博物院和台北故宫博物院，值得来！ 开放时间：09:00-17:00，16:00停止入园(周一闭馆，节假日除外） 门票：免费，需要在南京博物院GZH上提前预约，可提前7天，每天18:00放。我是临时去南京的，根本没有票。不死心的还是在当天刷GZH，原来还是会在9点放上午的票，12点放下午的票。 服务中心领参观指南：历史馆一特展馆一民国馆—数字馆—艺术馆一非遗馆（因为半天时间，加上体力限制，数字馆、艺术馆、非遗馆管可略过，民国馆实际就是一条复古街） 淡季的工作日还是有很多人，还有一些小娃娃追跑。  南京博物院镇馆之宝——西汉金兽 西汉金兽，是汉代金器制作工艺代表作品，西汉金兽是南京博物院的国宝级文物之一，也是中国考古发现的金器中最重的一件，是古代金属铸造工艺和金器锤击工艺这两种技法完美结合的产物。  找遍了整个馆芙蓉石蟠螭耳盖炉没有看到。   		   ",5,62, , , 
匿名用户,2023-10-1907:33," 【总体评价】中国第二大的博物馆，还是让人叹为观止！ 【地理位置】地铁二号线，明故宫站1号口大约步行9分钟，非常便利。 【友情提醒】需要提前预约进入，带好身份证。 想要逛完全程，还是需要体力的，建议穿平底鞋。场内有租语音谅解器，20元，真心不错！ 【整体感受】升级后的民国馆体验感真心不错，其中咖啡厅很有氛围感，坐里面喝一杯咖啡，和朋友一起聊聊，不错。小粉炉的冰箱贴，小伙伴们冲！！   		   ",4.5,0, , , 
