用户名,时间,内容,星级,点赞,,,
池苑,2023-10-2713:43," 一路好吃的不少，也是景点集群性非常高的地带，周边即便遛娃步行，也是可以短途路经很多景点的……  夫子庙西侧可以瞻园和甘熙故居一起规划玩耍，东侧可以去白鹭洲公园，都可以在玩耍后来夫子庙秦淮河一带吃东西～  甘熙故居同时也包纳了南京风俗博物馆，内容还是很丰富的，遛完若是时间晚了，可以选择瞻园的夜场，比起日场还有演出，代入感非常高～   		   ",5,0, , , 
Lily就是我哦,2023-11-0120:25," 每年秦淮灯会都让人翘首以盼，漫步河边，吹吹风，欣赏夜景，各种彩灯，明媚璀璨，和朋友一起这里闲逛，好像一天的疲惫都消退了不少。从夫子庙到老门东，走走路，感受到了南京人的人潮汹涌，各种小吃小摊子，香味四溢，感觉秦淮河畔是一个很适合闲逛放松心情的好去处。   		   ",5,11, , , 
原味奶茶,2023-10-0122:11," “南京夫子庙”位于南京市秦淮区秦淮河北岸贡院街、江南贡院以西，地处夫子庙秦淮风光带核心区，即南京孔庙、南京文庙、文宣王庙，为供奉祭祀孔子之地，是中国第一所国家最高学府、中国四大文庙之一，中国古代文化枢纽之地、金陵历史人文荟萃之地，不仅是明清时期南京的文教中心，同时也是居东南各省之冠的文教建筑群。 夫子庙是一组规模宏大的古建筑群，主要由孔庙、学宫、贡院三大建筑群组成，占地极大。有照壁、泮池、牌坊、聚星亭、魁星阁、棂星门、大成殿、明德堂、尊经阁等建筑。夫子庙被誉为秦淮名胜而成为古都南京的特色景观区，在六朝至明清时期，世家大族多聚于附近，故有“六朝金粉”之说，是中国最大的传统古街市，与上海城隍庙、苏州玄妙观和北京天桥为中国四大闹市。最后节假日千万别去，人山人海   		   ",4,1, , , 
钱多多,2023-09-2822:18," 晚上去夫子庙逛逛挺好、里面有很多小商铺可以逛逛、买了小吃感觉都不咋好吃、那个盐水鸭店铺很火、排队吓死个人、反正看人多不高兴排队、我是九月中旬去的、人也不少、十一去的朋友们、就准备看人头啦、逛着逛到德云社门口、但是里面好像没有营业、   		   ",4,0, , , 
静静动动吃吃看看,2023-10-2407:58," 市中心的网红打卡地，南京旅游的必去景区，进入步行街是免费。 景区内有江南贡院、科举博物馆、乌衣巷及里面名人故居、夫子庙、秦淮河游船等收费景点，值得驻足。 景区内的步行街、文德桥、秦淮河两岸民居与景色、街巷与商铺等，可边走边看，感受这里的商业文化。 景区内有几个酒店和民宿。 附近有地铁站，交通非常方便。   		   ",5,6, , , 
我只在乎您,2023-10-0522:11," 夫子庙秦淮古街，好久没有来了，约了几位朋友来这里游玩，我们难道不是周末，不过，人气挺旺的，南京的招牌咸水鸭，每个地方的价格都不一样，家里没人吃，就没有买。逛了逛街和景点，下大雨了，我就回去了，乘地铁有点远。   		   ",4,0, , , 
小情绪,2023-10-2417:35," 另外一角看秦淮河。以前去夫子庙看夜景都是人挤人，看到的都是人，今天突发奇想在家门口沿着秦淮河一条【就是平常在夫子庙坐的船游的一条河】一圈走下来还是蛮有感觉的，人也少适合吃完饭溜溜湾，散散步。还挺能感受老秦淮的感觉昵。推荐平常来南京又不想人挤人，安安静静的夜游秦淮河是小伙伴们   		   ",4,0, , , 
西西不胖很会吃,2023-10-1817:21," 南京旅游团打卡排名第一的地方，导游最喜欢把中老年游客安排在这里游玩，有吃有喝，路边上经常坐着一排排的中老年游客。白天是买各种鸭子，晚上是看着灯光坐游船，其实夫子庙里面是人文历史却少有人去关注，不过随着中国科举博物馆的打造，以后的夫子庙来得都是年轻人。   		   ",3.5,0, , , 
蕙蕙,2023-10-1807:17," 「夫子庙秦淮风光带」 作为外地人去了南京导游总归要带你们走一下夫子庙 其实我最后留下的印象就是有很多家卖盐水鸭的店，各种各样的价格，对街上五颜六色的吃食没有啥兴趣 个人感觉还是步行10分钟去老门东去更有风味   		   ",3.5,0, , , 
匿名用户,2023-09-2112:19," 第一次过来旅游直奔夫子庙秦淮风光带，晚上看风景真的非常不错，很奈斯，不枉我从厦门过来，过来吃当地的特色鸭血粉丝汤个人感觉比较清淡一点，但是汤好好喝我直接全部干完了整盘，还点了一个咸水鸭个人感觉一般没有特别之处，还有那个莲藕也一般，吃完就去逛附近，夜景真的太美了，坐了一下秦淮河畔的船票一个人一百游差不多四十分钟，全程风景还可以看的我直接想睡觉了感觉不值，坑游客的哈哈哈哈，看完直接回去酒店了，夫子庙秦淮风光带值得来，但是吃的一般，还买了特产回去   		   ",5,0, , , 
好吃好喝,2023-10-2319:05," 没想到周一人还这么多，很多游客，各类饭店都坐满了人，游船也是来来往往，还有很多小姐姐穿着古代服饰，为老街增添了几墨古色古香的味道，从老门东一路走到夫子庙，真是热热闹闹，虽然是晚上。依然能见到团课，好吧，夫子庙真受欢迎。   		   ",5,0, , , 
