用户名,时间,内容,星级,点赞,,,
壹壹壹壹鹿,2023-10-0707:57,"好天气去的蓝天绿树环境很美
顺便摸了一波小鹿",4.5,1, , , 
匿名用户,2023-10-0623:59,工作人员态度都很傲气。下雨天问个路也很不耐烦。期待很高感觉差点意思。还是后来看了视频找了解说才后知后觉了解这个陵墓的伟大。,4.5,0, , , 
灰胖肉嘟嘟,2023-10-0623:36,风景真的很好，就是国庆假期人太多太多了，很多年前去过一次，最喜欢石象路，看看那些六百多年的石憨憨，感受历史的沉淀,4,0, , , 
无尽头的等待1,2023-10-0622:10," 这次去南京逛了钟山陵风景区，实在是太大了，暴走腿有点费，而且景点都是人，有点万人马拉松的感觉，明孝陵有很多个入口，我们这个门进去走了很久，不过山里空气好，绿化多，朱元璋和马皇后的碑在很里面，我们2号去还有点限流，不过很值得一去！   		   ",5,0, , , 
全幼儿园最能吃,2023-10-0621:08," 在紫金山南麓独龙阜玩珠峰下，钟山风景名胜区内的明孝陵，中国规模最大的帝王陵寝之一，明太祖朱元璋与其皇后的明孝陵便坐落于此。明孝陵东毗中山陵，南临梅花山，承唐宋帝陵""依山为陵""日制，又创方坟为圜丘新制。将人文与自然和谐统一，成为中国传统建筑艺术文化与环境美学相结合的优秀典范，作为南京钟山风景区的其中一个景点板块，代表了明初建筑和石刻艺术的最高成就，是喜欢古代艺术以及南京旅行必去之地。   		   ",4,0, , , 
灰灰,2023-10-0615:25," 第二次来明孝陵了，景区很大，慢慢逛可以逛一下午，这个季节树叶已经有些黄了，深秋来景色更美，景区里还有草坪，很适合搭帐篷游玩，氛围很棒，非常适合带孩子游玩以及和朋友出门吸氧。石象路和神道都好美，以后还会再来。   		   ",4.5,0, , , 
怦然心动如往昔,2023-10-0614:33," 超越预期的孝陵游览体验。风景很秀美，那天的天气也十分应景，下了点毛毛细雨，刚刚好就是敬拜先贤的感觉。被孝陵的宏大、朱重八的智慧所折服。神道幽深静谧，石象路的多个神兽镇守着这里，还有文臣武将各两对共8人镇守孝陵，方城明楼高大宏伟威严，后山植被茂密幽深宁静，是龙脉之地。   		   ",5,0, , , 
李李_7817,2023-10-0613:15," 在南京10年都没去过明孝陵，总觉得没事去看个墓怪怪的。有了娃娃想带娃过去看看，也许也是因为年纪大了，想很多事情并不是像之前那样肤浅了。朱元璋戎马一生，获得历史留名，其他的如烧砖工除了城墙砖上字，留不下半点笔墨，再者乡野村夫也好，地方富绅也好，再厉害也是无踪无影，往上数三代也许名字也都没有了。如果不追求青史留名，那这一生就图个快快乐乐，带好娃娃，让她活得痛快就成。P.S.希望以后南京紫金山这些都能免费开放给学龄前和学龄儿童参观，或者门票能适当减免。   		   ",4.5,0, , , 
云裳风履,2023-10-0611:07," 感觉被骗了呢，怎么地宫没挖啊，浏览了别人的点评都没提及此事，哎～特意来看地宫的，结果就看了“此山明太祖之墓”我还转了个圈生怕自己没找到入口看了几个石头人、马、兽，路上的风景还行吧，花了70元有点不值啊！   		   ",3.5,0, , , 
离合不骚,2023-10-0610:51,套票就是一个坑，景点之间不在一起，国庆能挤爆，根本来不及去。还没法退票，差评。,0.5,0, , , 
文婷monica,2023-10-0609:42,回家可以好好再看看《明朝那些事儿》了，国外旅游就是教堂教堂，国内旅游就是墓墓墓。经历六百多年，从来没被人盗掘过。,4.5,1, , , 
猪猪侠,2023-10-0522:39," 整体来说还是不错的，里边非常大，大学生门票半价35元，研究生不属于大学生哦，进去的时候我前边一个就是买错了，后来被退了，还有一点，如果进去了，每个地方游玩结束再出来，否则玩一半出来的话，就不能进去了，也是排队的时候看到的，看起来有点尴尬，大家千万注意不要买错票，里边还有鹿苑，30块一袋饲料，可以进三个人，相当于每人三块，里边很干净，可以摸摸小白鹿，里边就像一个大公园，景色很漂亮，也很出片，唯一一点就是观光车和游客一条路，总得给车让路，这个有点烦人，其他的都不错，值得一去   		   ",4,0, , , 
匿名用户,2023-10-0518:55," 明朝的开国皇帝，朱元璋的陵墓，世界文化遗产明孝陵，正是位于此处，神道两侧有武士、大象、狮子、獬豸、骆驼、麒麟和马非常宏伟，最后登顶最高大的建筑方城明楼，很是壮观，另外山上的紫霞湖值得一去，人很少，风景很美   		   ",5,0, , , 
随心狂舞,2023-10-0515:09," 十一去的时候人非常多，路上非常堵，到处是封路的，各种不让过，打车原来20分钟路程，走了大概一个多小时，最后能到就不错了。 我们是从东门进的，离音乐台比较近，可以先去音乐台，里面有好多鸽子可以喂，路上就有卖鸽子食的。如果买的联票的话，可以先去灵谷寺，再去中山陵，可惜我们没约到票，进不去，后面去旅游，一定注意提前预约，提前预约，提前预约，重要的事情说三遍。 坐摆渡车去明孝陵，一人十元钱，省点儿体力，明孝陵有导游讲解，建议请一个，要不基本看不懂，还是要了解一下历史才好 最后去的美龄宫，其实就是宋美龄别墅，不感兴趣的可以不去，没什么特别的，我们买的是套票，不去浪费钱。 总的来说明孝陵做为南京的名牌，来了还是要去看看的，需要提前做好规划，提前预约，然后做好暴走的准备，尤其是人多的时候，没有车就只能靠咱二路双腿公交车了，是检验你身体的时候了   		   ",4.5,0, , , 
谁家大栗子,2023-10-0514:54," 国庆出游人真的是超级多，整个景区很大，需要提醒中山陵免费，一定要提前预约，我们约晚了，整个国庆假期都约满了，买了优惠联票，第一站就去了明孝陵，来这种地方一定要请导游，还能了解点历史背景，要不然也就是走马观花的看看。   		   ",4,0, , , 
我叫MT,2023-10-0514:39,进来散散步，到处走走，最后停留在梅花鹿这里了，养了挺多鹿，刚好都在外面活动。,5,0, , , 
Alexandra,2023-10-0511:02," 村上春树曾说：这个世界多么冷酷，然而，只要待在猫儿身边，世界就可以变得美好而温柔了。 明孝陵里这些猫生活得还可以，体型不瘦，有的还小胖，都怕陌生人，挺好。有人问，下雨下雪，它们怎么办？其实猫猫很聪明，基本都会待在有人气的地方，所以也就睡在附近不容易发现的角落里。   		   ",5,1, , , 
枣泥涮鲍鱼,2023-10-0422:55,很舒服，适合慢慢走，最让我惊喜的是灵谷景区，里面那种林深不知处的意境特别好！,5,0, , , 
嘿哈呼和,2023-10-0420:12,感觉还是很好的，明孝陵里瞻仰了古迹，有很详细的讲解，高大的城墙，很有意思的石像道。还有山下的鹿苑，可以近距离接触抚摸和投喂小鹿，跟小鹿合影，很适合小朋友来玩,4.5,0, , , 
灵活轻灵嘟嘟猪,2023-10-0417:20,风景挺棒的，还可以去鹿苑喂鹿,4.5,0, , , 
360_蓝馨515,2023-10-0416:28," 想起了电视剧的那一段台词：“是三颗粒米，只有十三颗。只有咱自个明白，那年月，要是咱家能吃上一口饱饭，咱断然不会造反，这世上只会多一个老实巴交的农民，朱重八，绝不会有大明皇帝，朱元璋” 假期的明孝陵人很多，逛了一圈，步数18000，春天再来看梅园   		   ",4.5,0, , , 
忘忧草575787,2023-10-0416:12," 今天和表妹一起来明孝陵，这是一个文化历史底蕴深厚和自然景观美丽兼具的景点，是明朝开国皇帝朱元璋和马皇后的陵墓。从南门进入，首先是石牌坊，是明孝陵的标志性建筑。后面的神道，两旁的石人和石兽，庄严肃穆。神道尽头，是明孝陵的主要建筑，方城和石碑。再过一段时间，秋天的明孝陵，枫叶红遍，别有一番风味。   		   ",4.5,0, , , 
yumenmaomi,2023-10-0415:11," 体验感最差的一次出行，说景区，但是还有公交车，去哪里，都要做的接驳车，到处找不着站点，非常不清晰，周边环境脏乱差，小半天没干别的，就排队坐接驳车了，太小的小车了，坐不了多少人，一排队就是半小时起，最后我们进了明孝陵进来就出来了，因为孩子说阴气太重，我们就花了七十在里面凉亭坐了一下就出来了，音乐台大国庆还关门   		   ",2.5,0, , , 
Bintang,2023-10-0414:38," 这一星差评不是给朱元璋的，是给景区的。十多年前去了中山陵就觉得很糟糕什么看点都没有，结果明孝陵也是半斤八两。地宫又不让进，就看了一座楼，楼上是什么**VR，昨天才去了太原晋祠，被晋祠秒成渣，名气大而已，70块钱门票10块钱都不值。   		   ",1,0, , , 
GeraldLau,2023-10-0414:25," 作为5A景点和世界文化遗产所在地，肯定要来打卡的。但出园后打车的体验实在太差。本身还是个管理问题呀，出租车完全不接单，我通过某滴叫车，三个的士先后拒单…，为啥，他们要在各景点门口，以50元四人拉去1公里的地铁站，这生意肯定也比做普通的士生意“划得来”呀。但作为监管机构每天到闭园前多少人要出行通过门票是可以检测到的吧？安排些摆渡大巴是不是多方受益！管理呀！无语！   		   ",4.5,0, , , 
「啡賣榀_9717,2023-10-0410:35," ??极不推荐的5A景点！ 高德地图推荐停车南理工科技创新园最近景区，不需要接驳车，700米步行到明孝陵3号门。经过点有很多接驳车去各个景区，中山陵等。 ??门票??大众点评订票提前预订有优惠，当天预订原价。 ??从3号门到考陵步行预计1.5km，园区很大，沿路绿化成荫。 ???????从门口到主宫步行太远，沿途只经过了一个梅花展览区，没啥看。然后就是明孝陵的神道，放着几座石像，再走过去就经过文武门和孝陵，孝陵什么都没有，走到考陵上人超级多，限流，走上去孝陵上面，什么都没有只有那个烂鬼VR地宫体验，80/人，然后就是一圈文字描述就没有了！！！！！连个展品或者地宫都没有！！！体验一点都不好！门票超贵！就只是看几座城墙！收费70！然后呢，如果你下山的话选择坐观光车10/人，大人小孩同价！等车1小时！体验太差了！建议降价到20元或者免费??！隔壁中山陵就免费！！   		   ",1,4, , , 
bwy1119,2023-10-0407:53," 十一期间来南京做的最对的决定，特别感谢了别导游的一路的讲解。在人流密度如此大的情况下，整整两个半小时，把南博两个大馆中所有重要展品都讲解了一遍。导游知识渊博，讲解生动，把古都的魅力一一展现在了我们眼前，非常值得推荐给需要的朋友！   		   ",5,0, , , 
MK_Bao,2023-10-0406:30,国庆节人山人海景区限流，买的联合票只去了一个景点，剩余景点都没去成功，景区还不让退票，国庆节体验非常差千万不要在平台买联票，可以去现场买单个景点票，价格一样这次被坑了。也没什么好玩，不建议去南京。,0.5,0, , , 
萨小太,"2023-10-03
??更新于2023-10-0607:56","推荐值得来看一看就是很费腿
人很多但是景色很好来的这一天正好小雨很有氛围感",5,0, , , 
偶儿出現的大叔,2023-10-0321:44," 十一到底去哪玩？考慮了好久，還是決定去比較近的南京，這次就去拜訪世界文化遺產，明孝陵吧！雖然人非常的多，但是景區實在太大，所以還不至於寸步難行，今天天氣有點陰雨，所以走起來還蠻舒適的，我覺得明孝陵是非常值得推薦的景點！   		   ",4.5,0, , , 
白色之蓝,2023-10-0321:27," 想来很久很久了！沉浸石头城，拜谒朱元璋！今天终于圆了心愿！孝陵的恢宏大气，绝对配得上他的历史地位，站在陵园口，站在明楼上，一瞬间绝对能把你拉回600多年前明朝刚兴之时！特种兵式的一个多小时太短了，以后有机会还会再来！   		   ",5,0, , , 
