用户名,时间,内容,星级,点赞,,,
匿名用户,2023-11-0613:50," 选择钟山风景区游玩，可以购买景点套票。整个景区很大，建议安排好行程规划。灵谷风景区空灵静谧，登上灵谷塔可以远眺城市风景；音乐台要看到鸽子起齐飞得碰到好运气，总体感觉是人比鸽子多，鸽子不爱动；明孝陵宏伟壮观，进入秋天后，神道两边的树木颜色丰富多彩，很美丽；远东第一别墅美龄宫富丽堂皇   		   ",5,0, , , 
匿名用户,2023-10-2822:06," 首先打车一定要到达中山陵停车场???，要不然走路要一公里才能到达，很累的，定位一定要定位准，中山陵-音乐台-灵隐寺这一路真的很累，千万不要租车，租车5??0??元一天（有钱的人随意就好啦）真的很不值当～并且景区没打车，一路都是1??1??公交车走过去观山车1??0??块钱一位，个人感觉还可以，不算太贵，但是走很累，很值得做这个玩意看完音乐台去灵隐寺人多可以一起打车的，不用做观山车，人多不值当～ 总结这几个地方，一句话给你们形容“好好犒劳一下自己的双腿吧，毕竟一天没停过” 景区买水都是很贵的是超市的2??倍 胖子选手的攻略，随意看 反正我觉得很累，累的不行，完全感觉都是在看树   		   ",5,0, , , 
睡神www,2023-10-2915:08," ??交通很便利，风景区门口就是地铁口，相对于打车开车来说，坐地铁的到达性和便利性更好 ??游览路线 苜蓿园地铁站??明孝陵3号门??明孝陵5号门??美龄宫??中山陵??音乐台??灵谷景区 ??景点介绍 ??明孝陵（3~4h）??65r 明太祖朱元璋和马皇后的合葬陵寝，必打卡点：石像路、瓮仲路、享殿、碑殿、方城明楼、宝顶、神功圣德碑，3号门靠近苜蓿园地铁站，5号门步行可达美龄宫 ??美龄宫（30min）??30r 原为国民政府主席寓所，国民政府还都南京后，蒋介石和宋美龄常在此休息礼拜，共三层，负一楼为侍卫室和厨房，如今还有展出宋美龄个人画展；一楼为接待室及秘书办公室；二楼为会客餐厅和书房；三楼为卧室、私人饭厅、基督凯歌堂 ??中山陵（1～2h）??免费 民主革命先行者孙中山先生的陵寝，节假日人巨多，需要提前一天预约，从美龄宫走过来略远，建议坐观光车 ??音乐台（30min）??10r 中山陵步行可达 中山陵的配套工程，主要用作纪念孙中山先生仪式时的音乐表演及演讲 看点是鸽子，但是人比鸽子还多，建议早上去，鸽子比较活跃，音乐台放音乐的时候真的很不错，无意间发现 《建国大业》有个场景就是在音乐台拍的。 ??灵谷景区（2~4h）??35r 音乐台坐观光车过来 六朝名胜古迹荟萃之地，景区内现存明代建筑无梁殿，清代建筑灵谷寺，民国建筑灵谷塔、松风阁，以及一些名人墓葬，比起其他景点，这里很幽静，灵谷塔登高望远，钟山风景尽收眼底。   		   ",5,0, , , 
Diana,2023-10-2810:23," 南京最喜欢来的地方，没有之一 来南京八年了，每年必须来看的地方，每个季节都好看，尤其是秋季，最喜欢的季节，以前带朋友一起来，这次带着宝宝一起来，宝宝全程很给力，不哭不闹，也没睡觉，哈哈哈，第一次出门没有睡觉，也许很喜欢这里，梧桐大道，特别美，有意境，就是周末盆超级多，车子也多，拍照，都是人，这一条路够欣赏好久，无意间还发现了一处美景，下面有图，不知道叫啥，以前好像也是好多人推荐的，建议早点出发，可以拍拍照片  交通： 我们自己开车来的，车子停在钟山风景区区吃饭的地方，一次15块钱，还能接受，地铁也方便，   		   ",5,1, , , 
小奶酥,2023-10-2801:07," 非常大大大大的一个景区 全都转一遍的话可以走上一天  推荐游玩路线是： ??地铁二号线坐到苜蓿园站-梧桐大道-美龄宫-明孝陵-中山陵-音乐台-灵谷 这一套下来基本就要45个多小时，但是路线是最顺的。 红薯上说骑电动车的攻略千万不要信，现在已经不让骑了。到每个景区都可以花10块钱坐摆渡车到下一个景点。很方便 累的是爬山的过程…陵墓有点子过于高了 一眼望去就很打颤，爬完之后不但没瘦还长了肌肉这两斤到现在也没减下去 到了顶部可以围绕着雕塑走一圈，心里是很触动的 里面也刻画了很多历史知识，出来之后仿佛被洗礼了 还是应该带孩子和家人来～感受下大自然和历史   		   ",4,21, , , 
yiyi*_219,2023-10-3100:40," 交通: 地铁很方便，我们是从地铁苜蓿园站下。走200米左右就到了售票窗口。想要吃南京大排档的。也可以直接在这里。也是排很长的队。错开高峰期，排队时间较少。  特色体验: 因为中山陵周一闭馆，没有看到。 还有梧桐大道，可以让路边有专门拍摄的摄影师，给拍美图。基本价格在5元一张。 我们为了感受梧桐大道，特意坐小火车观光车上一趟下一趟。10元单程30元不限次数。   		   ",5,0, , , 
貓霸天,2023-10-1820:21," 首先5A评分的景区是对得起?的 整个风景区的面积和内容含金量都非常好，内有很多餐饮点，小卖部售价合理，厕所也布置的很多，做到干净敞亮，洗手池有洗手液，烘干机，景区之间有代步游览车 ??舒适的鞋子非常重要，爱美的仙女们一定听劝！ ??吸汗速干舒适面料适合运动的服装！ 日行两万步不止，都是爬坡爬楼，石子路，运动量真的大 ??不适合遛娃，园区面积大，路难走，台阶居多，成年人上下坡尚且不容易，更何况抱着孩子呢 ??带点补充能量的零食，和饮料，多喝水 ?中山陵景区在风景正中间，门口好多餐饮店，价钱和分量口味竟然还不错，还有罗森便利店和KFC，价钱都很合理！ 有的攻略说不用买无限次游览车，我买了，单程是10，平台特价不限次才30。用后感，太值了！！！我可一点都不想再走了…… 游览车的线路是每一个大景点的切换，老实说这些路没啥散步价值，更何况还是不容易走的坡路 我每个大站都坐车的情况下，还走了两万两千多步……没买车票的情况不敢想 买的套票，明孝陵+美龄宫+灵谷风景区+音乐台 跳过了美龄宫没去， 进了下明孝陵博物馆，免费，当场微信扫码预约刷身份证进入，没劲不值得刷， 去了明孝陵，风景值得，但路程累腿 去了音乐台，不值，但已经花钱了就去了，就是???鸽子 去了中山陵，免费当场预约，巨长的阶梯，爬得人都蒙了，上山还得下山，但这个景区很壮观 最后去了灵谷景区，满山的树，好多的猫咪，黄昏日落时的风景太美丽了，累腿，但值得  需要体能储备，对臀腿力量和脚丫子都很考验 早上十点到，晚上四点走，一天刷满累瘫 总之，很值得，风景美丽   		   ",5,1, , , 
行走的吃货,2023-10-1210:36," 交通： 地铁到明故宫租了辆电动车，骑行十几分钟到达2号门， 特色体验： 先参观了明故宫，建筑非常宏伟，但对于不喜欢历史的人来讲，确实走马观花，不推荐，刚进门去了鹿园，不得不说，商业化非常严重，三十块钱买了几根草才可以近距离投喂互动，否则就只能在围栏外面大老远看看，里面农夫山泉五元一瓶，个人不做评价，景区这个价格还能接受，烤肠八块，我们是国庆节假期结束去的人不算太多，参观了美龄宫，中山陵，在中山陵吃了个汤包二十块钱六个，应该是南京最难吃的汤包了，盐水鸭三十块钱几片，还都是骨头，鸭血粉丝汤也是，不好吃，二十一份，感觉花了七十块，还不如吃个肯德基，个人不推荐在景区吃特色小吃，实在饿了，买点零食垫垫， 推荐理由： 最坑的就是音乐台，十块钱门票进去，没有音乐，鸽子还没有游客多，五块钱买几粒玉米说可以吸引鸽子飞过来拍照，鸽子根本不吃 tips： 个人感觉不对历史感兴趣，不喜欢历史，参观价值不大   		   ",3,0, , , 
lulu_shirley,2023-10-0514:20," 著名的钟山风景区，中山陵美龄宫明孝陵都在这里，地铁2号线苜蓿园站1号口出来左转往前走一点就是了，整个景区很长，如果纯靠走可能蛮久的，如果带老人孩子或者行程比较紧凑的话，还是选择坐观光车比较好，如果只是想拍梧桐大道的话倒是可以慢慢走走看看拍拍照，梧桐大道真的很美，感觉如果金秋来，叶子全都黄了会更好看，因为敢时间，来逛了半小时就走了，准备等叶子黄了，再抽时间去好好看看   		   ",4,1, , , 
一兮,2023-10-0419:32," 交通: 十一交通巨拥堵，划重点，景区去租电瓶车去陵园邮政局的那条路山脚下有家新疆饭店有租，里面电瓶车黑摩的千万别坐巨坑！！！几百米的路一个人十块钱，而且自己还要步行两公里。 tips: 还有如果打算美龄宫，中山陵，明孝陵音乐台都去的话需要一天时间，规划好时间，如果只打算去两个景点的话不要麦套票不划算一天玩好都够呛， 景区有照相去中山陵景区内楼梯上有免费拍照送钥匙扣照片，如果需要大照片20元一张还算合理。   		   ",2.5,1, , , 
NiLi,2023-09-1715:19," 终于圆梦钟山美丽的梧桐树，见证蒋宋传奇的爱情圣地。树姿优雅娴美的山梧桐树、偶尔可以见到些许黄，大片绿意盎然、生机勃勃。叶如小爱心，幸运这个时候来，看到的满目绿色的，等到深秋就会变成金黄。连着几天秋雨连连，草坪上冒出了一朵朵白色小雨伞，蘑菇的子实体仿佛果实，藏在草丛中甚是可爱。秋意浓，路边的花、果，林中觅食的飞鸟，入在人们眼中，都是靓丽的秋景。爱护环境，共同守护和欣赏钟山园林之美。   		   ",5,0, , , 
沪上云吃喝,2023-10-1815:36," 来南京，请拿出一天在钟山徒步吧！ 路线：灵谷寺-音乐台-中山陵-美龄宫-明孝陵 早晨前往清幽静谧的灵谷寺，登上九层高塔俯瞰整个南京城（图示）。在南京尚未发现比灵谷寺更高的地方。 音乐台和中山陵在一起，先去音乐台喂鸽子，然后去中山陵祭奠孙中山先生。注意音乐台有时候有演出，会进行维护；中山陵是免费游览的，但是周一不接待游客。 从中山陵出来后，前往美龄宫，宋美龄的住宅之一，她的卧室也是整栋楼的最佳通风处。 最后大片的时间留给明孝陵吧，很大，可以慢慢逛，建议去之前看看地图规划好路线，争取不走回头路。里面还有红楼梦里的大观园景观这些，还是值得好好逛逛的。（小Tip：明孝陵早上6点半前入园免门票）   		   ",4.5,0, , , 
就是气气,2023-10-2416:58," 特意来打卡，一句梧桐美，种满南京城，钟山风景区是浪漫的，同时汇聚了丰富的历史文化遗产，这里有许多著名的景点，如中山陵、明孝陵、音乐台、美龄宫等，每一个景点都充满了深厚的历史文化底蕴。这些景点展示了南京的历史和文化风貌，吸引了众多游客前来观光和探寻。 此外，钟山风景区的管理也比较规范，游客可以按照规定进行游览，不会受到过多的干扰。同时，景区内还有许多便民设施和服务，如停车场、餐饮店、旅游纪念品商店等，为游客提供了便利的条件。 总的来说，南京钟山风景区是一个值得一游的旅游胜地，既有美丽的自然风光，又有丰富的人文景观。   		   ",5,0, , , 
Alexandra,2023-10-0512:55," 无论春秋，亦或冬夏，陵园路都是一条景色秀美的园林道路，陵园路修建于1929年，至今已有91年历史之久。在陵园路两侧种植的全是“法国梧桐”，这些梧桐树与陵园路有着一样悠久的历史，90多年时间过去了，这些梧桐树越发高大，几乎要两个人才可以环抱。   		   ",5,1, , , 
issa伊萨,2023-08-0123:06," 中山陵是每年都会来的，暑天实在是太热，还是一大早就出门吧。中山陵是提前预约好的,2号线坐到苜蓿园站1号口出来，坐上小观光车没有5分钟就提前下车了，因为喜欢边走边看，在观光车里有些风景无法看到。好在梧桐大道遮荫蔽日，走累了可以坐在路边休息，景区里有卖水和老冰棍的。  中山陵??音乐台??美龄宫距离很近，可以连着一起玩下来。不过你要有好体力阿，玩是要腿者的，那不是旁边就有一对情侣在争吵，因为女生走了20分钟走不动了！  来这里游玩是越来越喜欢梧桐大道，绿意盎然，好似一抹纯净将这个夏日穿透，给予所有人惬意。 深深的梧桐树、延伸宽阔的街道、斑驳的树影以及音乐，都让人印象深刻。  你偏偏爱的，皆是心之所向。   		   ",5,0, , , 
牧野纯平2.0,2023-10-3113:13," 地铁2号线苜蓿园站，出站就是钟山风景区。钟山风景区一个整座大山，整个景区非常大，节假日交通堵车严重，且停车费很贵，不建议开车，打车也比较坑，所以建议是乘坐地铁出行。  门票可以买联票100元，学生票半价，也可以每个景点买票（明孝陵70，音乐台10，灵谷寺35，美龄宫30，中山陵免费，学生票均半价）  参观路线：明孝陵—中山陵—音乐台—灵谷寺—美龄宫—明孝陵博物馆。每个景点距离较远，可着重选择景点游玩。  钟山路上有很多梧桐树，随手一拍就是梧桐大道的感觉，相机拍照会比较出片。   		   ",4.5,0, , , 
李小白,2023-10-0416:14," 来南京必打卡中山陵风景区！ 交通： 自驾游的话车不要停，而且有的停车场价格还比较贵。坐地铁??来比较方便，地铁二号线到苜蓿园下车，顺着梧桐大道走，明孝陵，六朝博物馆，美龄宫，中山陵，美龄宫都在这里面，一路???一路的风景！   		   ",4.5,0, , , 
