用户名,时间,内容,星级,是否有图片
腥红月影,2020-11-30 发布点评,中国第二大博物馆，看了《国家宝藏》后，特地安排了行程来这里一睹文物的精彩。可惜有几件镇馆之宝外出寻展了没能看见。博物院“一院六馆”，我光是走马观花的逛历史馆和特展馆就花了2小时。可以在服务台租借讲解器，走到一些重点的文物前，讲解器会自动讲解，租金20元/台，挺不错的。,1,是
287****224,2023-04-17 发布点评,讲解老师讲的真好，不虚此行。可惜赶火车，只订了两小时的讲解,5,是
YANWEI9885,2023-02-19 发布点评,南京博物院是三大博物院之一，与故宫博物院，台北博物院齐名。,1,是
Mabel777,2022-11-24 发布点评,参观博物院需要提前预约，不错的博物院。,1,是
我命由我不天,2023-03-25 发布点评,去南京，特意带孩子去了趟南京博物院，那是他最喜欢的地方！,1,是
asviper,2023-02-12 发布点评,很是庄严肃穆的气氛和地方。感觉一下历史的氛围，还是可以的,1,是
爱吃芒果的大白,2023-02-09 发布点评,里面好多馆好多珍宝，很大，感觉一天都逛不完，一定一早去。,1,是
tlq_2005,2022-12-11 发布点评,去过一次，很怀念，同事推荐一起去的，好像再有机会出去转转,1,是
薇薰的风,2022-11-22 发布点评,很大很值得去好好逛逛的地方，馆藏丰富,1,是
E11****77,2021-03-13 发布点评,需提前预约，人不多的话也可以现场预约。浏览顺序博物院都给你编号了，跟着浏览顺序来了解历史，非常赞。最后浏览的是民国馆，很惊艳，仿佛穿越了时空。安排半天甚至一天的时间都是值得的。,1,是
jfathena,2023-02-12 发布点评,环境非常不错，味道也很棒，快馋死我了，是个聚餐的好去处,1,是
苹果树1104,2023-01-24 发布点评,讲解专业，点赞,5,是
159****5841,2023-01-23 发布点评,讲解阿姨特别好，讲的特别生动，把我们带入历史的长河，仿佛身临其境！真的没听够，有机会再来南京，来参观南京博物院！希望还能遇到这位阿姨！,5,是
asviper,2023-01-10 发布点评,展品很多很齐全，有助于了解城市的历史，可以花时间多来来,1,是
大吕哥哥??,2022-11-12 发布点评,"著名的博物馆，值得游览，特别好的地方，不错不错
【景色】",1,是
tlq_2005,2022-11-05 发布点评,出差时，同事推荐一起去的，感觉还不错，很怀念的一次出行,1,是
丹公主,2023-04-14 发布点评,非常好，安排的张老师只是非常渊博，参观的同时，和孩子学到了很多知识……非常棒的体验，不虚此行,5,是
marsxing,2023-01-05 发布点评,博物院的陈列很好，因为人不是很多，就更有氛围了，不错,1,是
M55****537,2023-04-15 发布点评,南京博物院非常大 ，有很多历史文物，非常值得细细品味,1,是
LAXPEK,2023-01-04 发布点评,馆藏极为丰富，众多反映中华灿烂文化的印记，值得推荐,1,是
奔跑着蜗牛的兔耳朵,2023-01-01 发布点评,很棒哦，南京博物馆有很多珍贵的历史文物，值得一去。,1,是
ncyygo,2021-01-27 发布点评,南京博物院坐落在南京市紫金山南麓 中山门内北侧 是我国第一座由国家投资兴建的大型综合类博物馆。国家一级博物馆 现形成由大殿 历史馆 艺术馆 特展馆 数字馆 民国馆 非遗馆组成的一院六馆格局,1,是
曾蒙海滩熊赐履,2022-01-01 发布点评,装修非常有品味，店面也很好找，停车也方便，交通非常便利，这点夸夸很轻松的环境，香薰味道也好闻，高级非常喜欢这家店的怀旧氛围，喜欢怀旧挂的可以冲冲冲了,1,是
jfathena,2023-02-17 发布点评,得到家人的一致认可，太有成就感了，下次继续来！,1,是
爱吃芒果的大白,2023-01-22 发布点评,来历史古都南京看它的沧桑变化，打卡南京博物院。,1,是
专伤你的心,2022-11-29 发布点评,南京不愧为六朝古都，南京博物院一定要去参观参观,1,是
M28****8684,2023-04-22 发布点评,导游讲解细致周到，连贯流利，风趣幽默，服务特别好，给我们受益匪浅。带给我们美好记忆！,5,是
George Huang1985,2023-01-20 发布点评,参观是免费的，在里面刷一下身份证取个票就好了,1,是
