用户名,时间,内容,星级,是否有图片
屏东,2023-07-14 发布点评,夫子庙是南京最经典的景点之一。来南京必去的地方。虽然变化不大，但建议去下，加上老门东景区，还是不错的。,1,是
M23****356,2023-08-26 发布点评,夜游秦淮河，值得一玩,5,是
M33****1239,2023-05-20 发布点评,干净整洁，房间井然有序，装修风格典雅，摆设绿色环保，房间电器智能化程度较高，每一个服务人员热情周到,1,是
M32****221,2023-10-05 发布点评,整体服务体验不错,5,是
嗨嗨,2023-09-15 发布点评,"【景色】美
【趣味】十足
【性价比】高，美丽的风景，热闹非凡",1,是
M46****05,2023-09-13 发布点评,这里水路可以坐画舫船游览，陆路有人力黄包车带你走街串巷。,1,是
beauful,2023-09-12 发布点评,白天去没什么，晚上去才好看，坐着船听着讲解，非常ni ce,1,是
摸鱼的提拉米苏,2023-09-08 发布点评,挺有味道的街区，有夫子庙，有游船，有贡院，晚上夜景不错！,1,是
胖妈妈爱旅游,2023-08-30 发布点评,秦淮河风光带由好多景区组成，我们晚上去看了秦淮河的夜景。,1,是
135****0043,2023-08-23 发布点评,浓郁的历史氛围，厚重的历史积淀，值得慢慢感受，细细品读。,1,是
章忠伟,2023-07-12 发布点评,很nice的地方啊，白天的她很平凡普通，夜晚的她当灯光亮起，河里泛舟，两岸景色尽收眼底，太美了。,1,是
豆豆0401,2023-09-15 发布点评,景色很美，坐船观赏别有一番滋味。还可以欣赏昆曲。很惬意,1,是
点点525,2023-08-26 发布点评,夫子庙秦淮风光带是一个值得逛一逛转一转的打卡的好地方。,1,是
LindaZhang2,2023-07-03 发布点评,春节的夫子庙热闹非凡，越到后面都有人墙限流。学生时候没有坐过游船，现在坐了一次，真是感觉超值。,1,是
dchdch2002,2023-05-10 发布点评,很棒的景点，泛舟秦淮河，夜游夫子庙，品金陵小吃，十分惬意，但不要假期来，人太多，体验比较不好。,1,是
txq520,2023-09-01 发布点评,好地方，以后有空还得继续来看看，转转。非常值得一来！,1,是
熙熙攘攘,2023-07-10 发布点评,"项目非常齐全，能够满足一家人的需求了，遛娃好去处
这个地方真的适合各种人群来玩来体验呀，好评噢",1,是
神秘的逗先森,2023-06-22 发布点评,秦淮河自古以来就是文人墨客的喜好之地，这里有着江南婉转的美，夜景是这里的一绝，有机会一定要去,1,是
甜甜小牛,2023-06-25 发布点评,秦淮风光带，这里自古以来就是文人墨客最流连忘返的地方，吟诗作乐，夜景更是这边独好，有机会去,1,是
活雷锋11,2023-05-22 发布点评,夫子庙一直以来都是全国最热门的景点之一，特色的建筑和小吃充分提现了南京作为六朝古都的繁华！,1,是
tgm民哥,2023-08-14 发布点评,南京必去的地方秦淮河岸古代高考地各地的小吃非常棒,1,是
WuLi 桐哥??,2023-06-04 发布点评,南京是我去还想在去的城市，想退休后小住一年的城市,1,是
SUNNRY,2023-05-17 发布点评,趁现在天气还不是很热，趁现在距离暑假还有一段时间，赶紧再来这逛逛欣赏一下秦淮河旎旖的风光,1,是
_hxt****68601,2023-09-02 发布点评,环境优雅、别致，服务周到、令人满意，值得一去！,1,是
焘择,2023-09-01 发布点评,位于南京老城区南，夜景很不错，适合背包客徒步游,1,是
胖旦旦,2023-08-18 发布点评,"【景色】挺不错的
【趣味】挺好的
【性价比】还不错",1,是
会发酵的猫小新,2023-08-22 发布点评,南京的著名景点，夫子庙，圣人所在，秦淮好风光,1,是
M29****4145,2023-08-10 发布点评,南京的老城区的代表，有历史，有故事，有风景。,1,是
桃花岛主任我行,2023-06-28 发布点评,这里曾经是风光如画的地方，现在虽然商业化的气氛浓重，但是还是可以去体会一下旧时的风情,1,是
微风一般的感觉,2023-04-28 发布点评,夫子庙位于江苏省南京市，秦淮河饭是最具有江南特色的水乡，也是南京市最著名的旅游景点了,1,是
邵圣社区,2023-09-08 发布点评,南京夫子庙秦淮风光无限好，只待晚市夜更美。,1,是
旅行的意义￥￥,2023-08-08 发布点评,个人觉得已经比较商业化了，缺少了原始味道。,1,是
