用户名,时间,内容,星级,是否有图片
M26****953,2023-07-24 发布点评,不错哦，就是假期里人有点多，不过还是很值得一游，每次外地亲朋来都会陪同去看看,5,是
118****426,2023-07-24 发布点评,里面很大，博物馆一定要提前预定，否则现场可以约满了，建议走5号门，离甬道最近,5,是
逍遥猴猴,2023-10-20 发布点评,环境清净，带娃了解历史，有一定意义,5,是
匿名用户,2023-09-09 发布点评,景区没啥意思建议避雷 就几个宫殿和孙权纪念馆 还赶上下雨去中山陵的路都被水淹了 门票还挺贵 意思不大 不如直接去中山陵和南博,5,是
匿名用户,2023-08-25 发布点评,景点值得一游。四季皆可成景。自然景观和历史景观十分和谐。南京旅游必到之处。,5,是
+大力出奇迹+,2023-11-07 发布点评,可以，早点去人少，停车费好贵啊！,5,是
匿名用户,2023-10-22 发布点评,景点一般，停车费20元1小时太贵,5,是
大宝小宝诺米,2023-08-18 发布点评,觉得是古代帝王陵墓的天花板了。,5,是
金斗焕,2023-08-15 发布点评,历史文化底蕴比较丰富，值得一去,5,是
匿名用户,2023-09-07 发布点评,很值得去的景点，历史的厚重感，神道非常有庄严的气息，适合慢慢的去看。,5,是
qca****489,2023-08-13 发布点评,进去刷身份证快，方便，就是暑假人太多了，到处都是人，中山陵都不敢去了,5,是
118****426,2023-07-24 发布点评,博物馆需要提前预约，现场基本约不到，园区很大，但是很美，非常值得参观,5,是
hao88888888,2023-11-07 发布点评,一定要请正规讲解，不然白去,5,是
288****245,2023-10-23 发布点评,便宜不了多少，但是很方便。,5,是
Adela lei,2023-08-26 发布点评,这个团因为没有配戴耳机所以一路导游讲什么一句没听到，其他都非常OK,5,是
qd0223,2023-05-05 发布点评,好地方，建筑宏伟，神道威武,5,是
匿名用户,2023-11-04 发布点评,景区太大了，体力不行，没有细逛，地上好多枯萎的落叶。有些一般，没有看到金黄色的梧桐大道，叶子颜色一般般。,5,是
快乐的小海鲜,2023-08-01 发布点评,景色不错，匆忙中只看了大概，以后有机会再次来南京可以考虑再来看看,5,是
M22****8296,2023-07-19 发布点评,如果来南京，一定要去明孝陵看看，挺震撼的。特别是石像路，很有感觉。孩子大一点更好，与学过的知识能联系起来。如果春天花开的时候来，景色应该会更美。,5,是
300****230,2023-05-07 发布点评,和父母，老公孩子一起，上一次去是十几年前了，其实去过就不想再去了,5,是
M50****0751,2023-05-01 发布点评,还不错，环境特别好，空气新鲜，绿植??也挺好,5,是
300****767,2023-10-12 发布点评,一般吧，就是看看古建筑,5,是
M25****417,2023-10-05 发布点评,10月下旬神道更美一些,5,是
203****329,2023-09-04 发布点评,跨越百年，依然壮观！美到极致，美到无法呼吸！美到让人无法自拔！,5,是
zyf,2023-08-29 发布点评,满意。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,5,是
61****173,2023-07-08 发布点评,为了看红叶时的神道，再次到明孝陵。没有失望，南京最喜欢的景点。,5,是
落汐雪,2023-08-09 发布点评,淡季出游，人不多，可以慢慢的逛，慢慢的体验，还是不错的体验。,5,是
M25****8870,2023-08-02 发布点评,很不错值得一去的地方，看看明孝陵，看看孙权纪念馆，喂喂小鹿。,5,是
舒和在杭州,2023-05-05 发布点评,很大，走走还是可以的，不要坐景交车，会错过很多可以看的东西。,5,是
M21****860,2023-05-03 发布点评,蛮好，工作人员很负责,5,是
slamjd,2023-10-28 发布点评,历史古迹，增长知识,5,是
slamjd,2023-10-28 发布点评,历史古迹，涨涨知识,5,是
弗洛伊德陈圆圆,2023-08-13 发布点评,很不错??风景很美……很喜欢南京下次还会二刷的城市真的很好,5,是
帅帅2222,2023-08-01 发布点评,南京著名旅游景点，明朝古都皇帝陵墓所在，夏天凉爽，适合旅游,1,是
斯可瑞特,2023-07-23 发布点评,很意义的一个地方。,5,是
_WeCh****768825,2023-10-10 发布点评,地宫不开，看VR要单花80，景区内暴走模式，距离长，但是实在没啥看的，就这种景区也就值20元票价,5,是
匿名用户,2023-08-29 发布点评,了解明朝历史的一面镜子，非常不错，景区很大，可以慢慢走走,5,是
匿名用户,2023-08-29 发布点评,了解明朝历史的一面镜子，非常不错，景区很大，可以慢慢走走,5,是
汤盛骁,2023-08-23 发布点评,景色非常好，地方也很大，要做好安全至少半天时间玩的准备。,5,是
汤盛骁,2023-08-23 发布点评,景色非常好，地方也很大，要做好安全至少半天时间玩的准备。,5,是
汤盛骁,2023-08-23 发布点评,景色非常好，地方也很大，要做好安全至少半天时间玩的准备。,5,是
尊贵的嘉华车主,2023-08-21 发布点评,景点不错，到最好租个导游或者电子导游，要不就是走马观花！,5,是
尊贵的嘉华车主,2023-08-21 发布点评,景点不错，到最好租个导游或者电子导游，要不就是走马观花！,5,是
尊贵的嘉华车主,2023-08-21 发布点评,景点不错，到最好租个导游或者电子导游，要不就是走马观花！,5,是
Basic风,2023-06-04 发布点评,这次出来就是为了放松心情，人流不多，感觉很不错，但是从古迹来看很一般，如果说出跳的话，还是树景好,5,是
匿名用户,2023-11-01 发布点评,一般，人挺多的,5,是
138****0567,2023-10-26 发布点评,可以的，，，，,5,是
M27****1142,2023-09-23 发布点评,值得前往，推荐,5,是
205****618,2023-09-11 发布点评,网上订票很方便，提前一天购买比现场优惠。关键能随时退。,5,是
jin1302,2023-10-12 发布点评,美龄宫还不错,5,是
M25****5001,2023-10-09 发布点评,服务非常周到,5,是
M25****5001,2023-10-09 发布点评,服务非常周到,5,是
匿名用户,2023-08-11 发布点评,挺有意思的 小鹿不怕人 喂饭需要再买一个草 摸摸也是可以的,5,是
118****100,2023-08-09 发布点评,亲子游，五号门进去，不走回头路。观光车出来就是地铁站,5,是
匿名用户,2023-09-05 发布点评,值得一去好,5,是
匿名用户,2023-08-23 发布点评,景色很不错,5,是
320****092,2023-08-05 发布点评,只玩一天或者半天的一定不要买联票，就一个景点都够了,5,是
