用户名,时间,内容,星级,是否有图片
Wave,2023-05-07 发布点评,小朋友很喜欢这里。,5,是
M42****3649,2023-05-05 发布点评,很不错，就是下雨了,5,是
美丽的玲玲1,2023-04-30 发布点评,很不错，有机会再来,5,是
M33****0628,2023-04-28 发布点评,非常好，特别好玩！,5,是
匿名用户,2023-09-03 发布点评,音乐台一点不好玩，别的还好，但如果有导游讲解就好玩多了！,5,是
M54****3245,2023-07-20 发布点评,好看，适合亲子游,5,是
_WeCh****469431,2023-07-19 发布点评,还不错，不用乱转,5,是
M53****8009,2023-07-13 发布点评,景区很大，暴走型,5,是
M53****8009,2023-07-13 发布点评,景区很大，暴走型,5,是
1600,2023-07-06 发布点评,人多，交通不便！,5,是
大鱼2023,2023-07-03 发布点评,风景优美，清静。,5,是
立业郑磊,2023-06-27 发布点评,好玩，值得去看看,5,是
98****283,2023-06-23 发布点评,音乐台鸽子很好看,5,是
剑胆琴心74,2023-06-13 发布点评,地方风景真的不错,5,是
_WeCh****954254,2023-06-11 发布点评,好好，内容好丰富,5,是
George Huang1985,2023-05-03 发布点评,带小朋友玩很合适,5,是
生命要继续i,2023-04-24 发布点评,好评！！！！！！,5,是
139****8985,2023-07-18 发布点评,不错，风景不错,5,是
10****052,2023-07-07 发布点评,总体感觉不错。,5,是
M35****8437,2023-07-06 发布点评,体验敢非常不错,5,是
M51****510,2023-06-29 发布点评,很方便，很开心,5,是
M26****7700,2023-06-24 发布点评,导游非常优秀！,5,是
_wech****783236,2023-05-24 发布点评,非常好景点很多,5,是
M32****3081,2023-05-23 发布点评,不错，值得推荐,5,是
M32****3081,2023-05-23 发布点评,不错，值得推荐,5,是
M34****6207,2023-05-23 发布点评,买票了忘记去了,5,是
天下情怀,2023-05-02 发布点评,很有意义的地方,5,是
M33****0628,2023-04-28 发布点评,玩得特别开心！,5,是
_ucwe****192307,2023-08-16 发布点评,景区太大了，一天逛不完，建议早点出门，或者两天逛完。,5,是
震惊的加菲猫,2023-07-20 发布点评,南京必去景点,5,是
M32****0813,2023-07-05 发布点评,非常好非常好,5,是
是阿旭呀,2023-07-04 发布点评,挺好的很好玩,5,是
M33****1295,2023-06-28 发布点评,很好很满意！,5,是
_CFT01****5177400,2023-06-20 发布点评,可以可以可以,5,是
sukiiiiiiii,2023-05-21 发布点评,挺好玩的值得,5,是
_WeCh****70553,2023-05-17 发布点评,很不错的地方,5,是
_WeCh****912190,2023-05-16 发布点评,清凉一夏好好,5,是
M27****0007,2023-05-12 发布点评,好，总体很好,5,是
hsh的wife,2023-05-03 发布点评,这个景点不错,5,是
_GDMC****3547,2023-05-02 发布点评,很好很好很好,5,是
136****8766,2023-07-31 发布点评,景区管理水平有待提高，门票价格不亲民，体验感不好。,5,是
M28****7554,2023-07-21 发布点评,很好很好很,5,是
M55****7101,2023-07-20 发布点评,好好好好好,5,是
流汗水,2023-07-09 发布点评,非常不错！,5,是
nicky0613,2023-07-09 发布点评,值得一去！,5,是
M22****9530,2023-07-06 发布点评,点赞点赞！,5,是
M19****894,2023-06-26 发布点评,绿化很赞！,5,是
M16****689,2023-06-19 发布点评,风景很不错,5,是
Z-LG,2023-05-20 发布点评,體驗感不錯,5,是
玄冰白狼,2023-05-18 发布点评,门票而已。,5,是
阿园同学,2023-05-13 发布点评,还不错的！,5,是
za****a,2023-05-12 发布点评,值得一去！,5,是
M22****3048,2023-05-03 发布点评,非常不错的,5,是
E23****356,2023-05-03 发布点评,很好很不错,5,是
why7,2023-05-01 发布点评,天下为公！,5,是
_WeCh****736278,2023-05-01 发布点评,好好好好好,5,是
正气大侠,2023-04-16 发布点评,"除了灵谷寺，全部打卡了。
快跑断腿了。
如果要都浏览一遍，最好早点出发，或者各个景点用观光车移动。
音乐台只是喂鸽子，感觉不值??
免费中山陵赶上了，每周一中山陵闭关。",5,是
Hunter‘Freedom Go,2023-03-14 发布点评,"音乐台北门直接进入，门票两次检票，第一次是中山陵门票，需要预约（免费)；第二次是音乐台门票，道10
“想避开人头还是上午来吧，上午九点半之前人
都不多，拍人像风景还是要起早
兴会驾车可以停在中山陵停车场，打车建议定位
在体育学院然后步行十来分钟走过来，路上可以看绝美的梧桐路",5,是
